file|line_start|line_end|line_end_auto|line_end_manual|type
01111910.txt|4073||4358.0|4107.0|line_end
01111910.txt|4113|4176.0|||manual_only
01111910.txt|4220|4249.0|||manual_only
01111910.txt|4276|4295.0|||manual_only
01111910.txt|4305|4327.0|||manual_only
01111910.txt|4337|4344.0|||manual_only
01111910.txt|4355|4382.0|||manual_only
01111910.txt|4390|4412.0|||manual_only
01111910.txt|4451|4478.0|||manual_only
01111910.txt|4484|4506.0|||manual_only
01111910.txt|4586|4604.0|||manual_only
01111910.txt|4618|4621.0|||manual_only
01111910.txt|4644|4677.0|||manual_only
01111910.txt|4681|4743.0|||manual_only
01111910.txt|4747|4773.0|||manual_only
01111910.txt|4779|4790.0|||manual_only
01111910.txt|4798|4801.0|||manual_only
01111910.txt|4817|4839.0|||manual_only
01111910.txt|4861|4864.0|||manual_only
01111910.txt|4887|4892.0|||manual_only
01111910.txt|4899|4903.0|||manual_only
01111910.txt|4922|4938.0|||manual_only
01111910.txt|5003||5210.0|5077.0|line_end
01111910.txt|5082|5210.0|||manual_only
05191910.txt|9735||9756.0|10906.0|line_end
05191910.txt|11247||11261.0|11249.0|line_end
05191910.txt|11263|11402.0|||manual_only
05241910.txt|11282||11357.0|11283.0|line_end
05241910.txt|11358||11380.0|11377.0|line_end
05241910.txt|11484||11496.0|11489.0|line_end
05241910.txt|11495|11496.0|||manual_only
05241910.txt|11509|11509.0|||manual_only
05241910.txt|11524|11524.0|||manual_only
05241910.txt|11539|11539.0|||manual_only
05241910.txt|11544||11557.0|11545.0|line_end
05241910.txt|11904|11904.0|||manual_only
05241910.txt|12087||12103.0|12089.0|line_end
