file|line_start|line_end|line_end_auto|line_end_manual|type
01111900.txt|2113||2145.0|3129.0|line_end
01111900.txt|3153||3199.0|3156.0|line_end
01111900.txt|3370||3387.0|3373.0|line_end
01111900.txt|3411|3415.0|||auto_only
01111900.txt|3521||3527.0|3522.0|line_end
01111900.txt|3665||3674.0|3666.0|line_end
01111900.txt|3919||3940.0|3958.0|line_end
01111900.txt|3979||3987.0|3983.0|line_end
01111900.txt|3984|3897.0|||manual_only
03311900.txt|9857||9896.0|9858.0|line_end
03311900.txt|9859|9896.0|||manual_only
03311900.txt|9899|9899.0|||manual_only
03311900.txt|9900||9903.0|9900.0|line_end
03311900.txt|9901|9903.0|||manual_only
03311900.txt|9906|9907.0|||manual_only
03311900.txt|9909|9910.0|||manual_only
03311900.txt|9912|9913.0|||manual_only
03311900.txt|9916|9917.0|||manual_only
03311900.txt|9919|9920.0|||manual_only
03311900.txt|9921||9932.0|9926.0|line_end
03311900.txt|9927|9932.0|||manual_only
03311900.txt|9933||9938.0|9935.0|line_end
03311900.txt|9936|9938.0|||manual_only
03311900.txt|9941|9941.0|||manual_only
03311900.txt|9944|9944.0|||manual_only
03311900.txt|9945||9949.0|9946.0|line_end
03311900.txt|9947|9949.0|||manual_only
03311900.txt|9966|9967.0|||manual_only
03311900.txt|10369|10369.0|||manual_only
03311900.txt|10529||10533.0|10550.0|line_end
03311900.txt|10641|10643.0|||auto_only
05091900.txt|5895|5895.0|||manual_only
05091900.txt|5898|5898.0|||manual_only
05091900.txt|5901|5901.0|||manual_only
05091900.txt|5921|5922.0|||manual_only
05091900.txt|5934||6764.0|6045.0|line_end
05091900.txt|6056|6074.0|||manual_only
05091900.txt|6081|6099.0|||manual_only
05091900.txt|6108|6128.0|||manual_only
05091900.txt|6153|6166.0|||manual_only
05091900.txt|6183|6199.0|||manual_only
05091900.txt|6299|6324.0|||manual_only
05091900.txt|6387|6390.0|||manual_only
05091900.txt|6722|6723.0|||manual_only
05091900.txt|6754|6763.0|||manual_only
05091900.txt|6772||6848.0|6804.0|line_end
05091900.txt|6850|6852.0|||manual_only
05091900.txt|6860|6879.0|||manual_only
05141900.txt|9014||9028.0|9014.0|line_end
05141900.txt|9015|9028.0|||manual_only
05141900.txt|9086|9093.0|||auto_only
05141900.txt|9088|9093.0|||manual_only
05141900.txt|9146||9152.0|9148.0|line_end
05141900.txt|9376|9376.0|||manual_only
05141900.txt|9489|9489.0|||manual_only
05141900.txt|9851||9865.0|9853.0|line_end
