file|line_start|line_end|line_end_auto|line_end_manual|type
01101920.txt|5725||5817.0|5778.0|line_end
01101920.txt|5785|5787.0|||manual_only
01101920.txt|5801|5816.0|||manual_only
01101920.txt|5938||5979.0|5968.0|line_end
01101920.txt|5970|5979.0|||manual_only
01101920.txt|5981|5981.0|||manual_only
01101920.txt|6028||6036.0|6028.0|line_end
01101920.txt|6029|6036.0|||manual_only
01101920.txt|6056|6056.0|||manual_only
01101920.txt|6088||6126.0|6104.0|line_end
01101920.txt|6113|6125.0|||manual_only
01101920.txt|6522|6523.0|||auto_only
01101920.txt|6581||6586.0|6582.0|line_end
01101920.txt|6735|6735.0|||manual_only
03301920.txt|6968||6979.0|6974.0|line_end
03301920.txt|6975|6979.0|||manual_only
03301920.txt|6980||6991.0|6981.0|line_end
03301920.txt|7014||7018.0|7015.0|line_end
03301920.txt|7048||7055.0|7050.0|line_end
03301920.txt|7473|7475.0|||auto_only
05111920.txt|5925||5937.0|5927.0|line_end
05111920.txt|5931|5937.0|||manual_only
05111920.txt|5966||5987.0|5966.0|line_end
05111920.txt|5985|5987.0|||manual_only
05111920.txt|6028|6029.0|||manual_only
05111920.txt|6165||6177.0|6165.0|line_end
05111920.txt|6207||6228.0|6224.0|line_end
05111920.txt|6225|6228.0|||manual_only
05111920.txt|6279|6279.0|||manual_only
05111920.txt|6497|6497.0|||manual_only
05111920.txt|6504|6504.0|||manual_only
05111920.txt|6534||6545.0|6549.0|line_end
05111920.txt|6616|6616.0|||auto_only
05111920.txt|6672|6672.0|||manual_only
05111920.txt|6877||6899.0|6979.0|line_end
05151920.txt|7501|7501.0|||manual_only
05151920.txt|7515||7534.0|7520.0|line_end
05151920.txt|7581|7587.0|||auto_only
05151920.txt|7858|7861.0|||manual_only
05151920.txt|7867|7870.0|||manual_only
05151920.txt|7882|7891.0|||manual_only
