file|line_start|line_end|line_end_auto|line_end_manual|type
01271970.txt|46435||46438.0|46459.0|line_end
01271970.txt|47174||47234.0|47244.0|line_end
06221970.txt|61969||62007.0|62017.0|line_end
06221970.txt|62256||62276.0|62296.0|line_end
06221970.txt|62581||62795.0|62843.0|line_end
08311970.txt|21094||21222.0|21217.0|line_end
08311970.txt|21403||21469.0|21491.0|line_end
08311970.txt|21918||21957.0|21926.0|line_end
09101970.txt|48096|48097.0|||auto_only
09101970.txt|48420||48506.0|48576.0|line_end
09101970.txt|48582||48637.0|48600.0|line_end
