file|line_start|line_end|line_end_auto|line_end_manual|type
01121950.txt|7337||7339.0|8426.0|line_end
05261950.txt|12455||12514.0|12567.0|line_end
05261950.txt|12570||12593.0|13173.0|line_end
05261950.txt|13200||13243.0|13476.0|line_end
08031950.txt|21225||21230.0|21227.0|line_end
08031950.txt|21342||21464.0|21376.0|line_end
08031950.txt|21397|21464.0|||manual_only
08031950.txt|21523||21545.0|21533.0|line_end
08031950.txt|21846|21881.0|||manual_only
08031950.txt|21882||21926.0|21883.0|line_end
08031950.txt|21884|21926.0|||manual_only
08031950.txt|21929|21929.0|||manual_only
08031950.txt|21930||21965.0|21949.0|line_end
08031950.txt|21950|21965.0|||manual_only
08031950.txt|21966||21984.0|21976.0|line_end
08031950.txt|21976|21984.0|||manual_only
08031950.txt|21987|21987.0|||manual_only
08031950.txt|21988||22016.0|21991.0|line_end
08031950.txt|21992|22016.0|||manual_only
08031950.txt|22019|22021.0|||manual_only
08031950.txt|22024|22051.0|||manual_only
08031950.txt|22052||22057.0|22053.0|line_end
08031950.txt|22054|22057.0|||manual_only
08031950.txt|22058||22074.0|22064.0|line_end
08031950.txt|22065|22074.0|||manual_only
08031950.txt|22075||22084.0|22076.0|line_end
08031950.txt|22077|22084.0|||manual_only
08031950.txt|22085||22098.0|22091.0|line_end
08031950.txt|22092|22098.0|||manual_only
08031950.txt|22099||22104.0|22100.0|line_end
08031950.txt|22101|22104.0|||manual_only
08031950.txt|22105||22117.0|22110.0|line_end
08031950.txt|22111|22117.0|||manual_only
08031950.txt|22120|22130.0|||manual_only
