file|line_start|line_end|line_end_auto|line_end_manual|type
01131880.txt|1846|1846.0|||manual_only
01131880.txt|1956||1971.0|1957.0|line_end
01131880.txt|2246|2246.0|||manual_only
01131880.txt|2537||2548.0|2538.0|line_end
04051880.txt|4948||4980.0|4994.0|line_end
04051880.txt|4995|4996.0|||auto_only
04051880.txt|5137|5137.0|||auto_only
04051880.txt|5541|5541.0|||auto_only
04051880.txt|5625|5626.0|||manual_only
04051880.txt|5640||5725.0|5645.0|line_end
04051880.txt|5726||5747.0|5728.0|line_end
05131880.txt|5627||5751.0|5972.0|line_end
05131880.txt|5785|5972.0|||auto_only
05131880.txt|6115||6147.0|6182.0|line_end
05131880.txt|6327|6327.0|||auto_only
05131880.txt|6330||6342.0|6330.0|line_end
05131880.txt|6620||6630.0|6621.0|line_end
05131880.txt|6633||6639.0|6635.0|line_end
05131880.txt|6698||6751.0|6736.0|line_end
05131880.txt|6737|6751.0|||manual_only
05131880.txt|6772||6780.0|6773.0|line_end
05191880.txt|6616|6620.0|||manual_only
05191880.txt|6627||6644.0|6631.0|line_end
05191880.txt|6717||6741.0|6717.0|line_end
05191880.txt|6718|6731.0|||manual_only
05191880.txt|6840|6841.0|||manual_only
05191880.txt|6847|6848.0|||manual_only
05191880.txt|6926||6936.0|6942.0|line_end
05191880.txt|6983|6983.0|||manual_only
05191880.txt|7014||7020.0|7014.0|line_end
05191880.txt|7017|7017.0|||manual_only
05191880.txt|7024||7027.0|7024.0|line_end
05191880.txt|7025|7027.0|||manual_only
05191880.txt|7193||7201.0|7194.0|line_end
05191880.txt|7195|7201.0|||manual_only
05191880.txt|7218||7225.0|7219.0|line_end
05191880.txt|7264|7265.0|||manual_only
05191880.txt|7304|7305.0|||manual_only
05191880.txt|7373|7374.0|||auto_only
05191880.txt|7514||7525.0|7515.0|line_end
05191880.txt|7553||7568.0|7553.0|line_end
05191880.txt|7554|7568.0|||manual_only
