SPEAKER|LINE_START|LINE_END|SPECIAL|CHAMBER
Mr. GOOD.|5873|5882|N|H
Mr. BEE.|5883|5890|N|H
Mr. GOOD.|5891|5894|N|H
The CHAIRMAN.|5895|5895|Y|H
Mr. BLANTON.|5925|5927|N|H
-----|5931|5937|N|H
.Mr. GOOD.|5938|5940|N|H
The CHAIRMAN.|5941|5942|Y|H
Mr. GOOD.|5943|5945|N|H
Mr. MANN of Illinois.|5946|5950|N|H
Mr. BLANTON.|5951|5952|N|H
Mr. MANN of Illinois.|5953|5955|N|H
. Mr. BLANTON.|5956|5958|N|H
Mr. 'MANN    of Illinois.|5959|5965|N|H
Mr. GOOD.|5966|5966|N|H
-----|5985|5987|N|H
The CHAIRMAN.|5988|5999|Y|H
Mr. BLANTON.|6000|6003|N|H
The CHAIRMAN.|6004|6005|Y|H
Mr. SIEGEL.|6006|6006|N|H
The CHAIRMAN.|6007|6008|Y|H
Mr. RAKER.|6016|6017|N|H
The CHAIRMAN.|6018|6019|Y|H
Mr. RAKER.|6020|6027|N|H
STile CHAIRMAN.|6028|6029|Y|H
Mr. SIEGEL.|6030|6049|N|H
The CHAIRMAN.|6050|6081|Y|H
Mr. SIEGEL.|6082|6084|N|H
'The CHAIRMAN.|6085|6087|Y|H
The CHAIRMAN.|6123|6123|Y|H
Mr. BLANTON.|6132|6138|N|H
Mr. GOOD.|6139|6145|N|H
Mr. BLANTON.|6146|6150|N|H
Mr. GOOD.|6151|6156|N|H
Mr. BLANTON.|6157|6159|N|H
Mr. GOOD.|6160|6162|N|H
Mr. CLARK of Missouri.|6163|6164|N|H
Mr. GOOD.|6165|6165|N|H
Mr. CLARK of Missouri.|6178|6179|N|H
Air. GOOD.|6180|6190|N|H
Mr. CLARK of Missouri.|6191|6192|N|H
Mr. GOOD.|6193|6195|N|H
Mr. BLANTON.|6196|6196|N|H
Mr. GOOD.|6197|6199|N|H
Mr. BLANTON.|6200|6201|N|H
Air. GOOD.|6202|6206|N|H
Mr. MA.NN of Illinois.|6207|6224|N|H
Mr. BLANTON.|6225|6228|N|H
Mr. MANN of Illinois.|6229|6232|N|H
Mr. BLANTON.|6233|6233|N|H
Mr. MANN of Illinois.|6234|6235|N|H
Mr. BLANTON.|6236|6238|N|H
Mr. MANN of Illinois.|6239|6240|N|H
Mr. BLACK.|6241|6271|N|H
Mr. MANN of Illinois.|6272|6277|N|H
