SPEAKER|LINE_START|LINE_END|SPECIAL|CHAMBER
Mr. ENLOE.|4664|4710|N|H
The SPEAKER.|4711|4712|Y|H
Mr. ENLOE.|4713|4716|N|H
The SPEAKER.|4717|4718|Y|H
Mr. ENLOE.|4719|4720|N|H
The SPEAKER.|4721|4722|Y|H
Air. ENLOE (continuing).|4723|4724|N|H
The SPEAKER.|4725|4727|Y|H
Mr. ENLOE.|4728|4747|N|H
The SPEAKER.|4748|4749|Y|H
Mr. ENLOE.|4750|4750|N|H
The SPEAKER.|4751|4751|Y|H
Mr. ENLOE.|4752|4753|N|H
The SPEAKER.|4754|4755|Y|H
Mr. ENLOE.|4756|4802|N|H
Mr. ENLOE.|4821|4841|N|H
Mr. CANNON.|4842|4844|N|H
Mr. ENLOE.|4845|4846|N|H
Mr. CANNON.|4847|4849|N|H
Mr. ENLOE.|4850|4851|N|H
Mr. CANNON.|4852|4852|N|H
Mr. ENLOE.|4853|4855|N|H
The SPEAKER.|4857|4857|Y|H
Mr. CANNON.|4859|4860|N|H
Mr. ENLOE.|4861|4874|N|H
The SPEAKER.|4878|4908|Y|H
Mr. CANNON.|4909|4909|N|H
Mr. WHITTHORNE.|4910|4910|N|H
Mr. CANNON.|4911|4912|N|H
Mr. WHITTHORNE.|4913|4920|N|H
Mr. CANNON.|4921|4923|N|H
Mr. WHITTHORNE.|4924|4925|N|H
Mr. BREWER.|4926|4928|N|H
The SPEAKER.|4929|4931|Y|H
Mr. WHITTHORNE.|4933|4933|N|H
Mr. ROGERS.|4936|4936|N|H
The SPEAKER.|4937|4937|Y|H
Mr. ROGERS.|4938|4940|N|H
Mr. CANNON.|4943|4944|N|H
ir. ROGERS.|4959|4960|N|H
Mr. CANNON.|4961|4963|N|H
Mr. ROGERS.|4964|4973|N|H
Mr. SPRINGER.|4974|4974|N|H
Mr. ROGERS.|4975|4978|N|H
The SPEAKER.|4993|4996|Y|H
Mr. ROGERS.|4997|4997|N|H
The SPEAKER.|4998|5001|Y|H
Mr. ROGERS.|5002|5003|N|H
The SPEAKER.|5004|5007|Y|H
Mr. PERKINS.|5008|5010|N|H
Mr. CANNON.|5011|5012|N|H
Mr. ROGERS.|5013|5036|N|H
The SPEAKER.|5037|5037|Y|H
Mr. PERKINS.|5039|5039|N|H
Mr. SPRINGER.|5040|5041|N|H
The SPEAKER.|5042|5042|Y|H
Mr. SPRINGER.|5043|5043|N|H
The SPEAKER.|5045|5045|Y|H
Mr. PERKINS.|5046|5051|N|H
Mr. CANNON.|5052|5055|N|H
Mr. PERKINS.|5056|5058|N|H
Mr. BRECKINRIDGE, of Kentucky.|5059|5060|N|H
The SPEAKER.|5061|5061|Y|H
Mr. BRECKINRIDGE, of Kentucky.|5062|5067|N|H
The SPEAKER.|5068|5069|Y|H
Mr. BRECKINRIDGE, of Kentucky.|5070|5072|N|H
The SPEAKER.|5073|5074|Y|H
Mr. BRECKINRIDGE, of Kentycky.|5075|5076|N|H
The SPEAKER.|5077|5079|Y|H
Mr. BRECKINRIDGE, of Kentucky.|5080|5082|N|H
The SPEAKER.|5083|5084|Y|H
Mr. BRECKINRIDGE, of Kentucky.|5085|5087|N|H
The SPEAKER.|5088|5089|Y|H
Mr. PEEL.|5090|5091|N|H
The SPEAKER.|5092|5095|Y|H
Mr. PEEL.|5096|5122|N|H
Mr. PEEL.|5184|5202|N|H
Mr. CANNON.|5203|5203|N|H
Mr. PEEL.|5204|5205|N|H
Air. CANNON.|5206|5206|N|H
Mr. PEEL.|5207|5219|N|H
Mr. CANNON.|5220|5222|N|H
Mr. PEEL.|5223|5230|N|H
Mr. CANNON.|5231|5232|N|H
Mr. PEEL.|5233|5234|N|H
Mr. CANNON.|5235|5235|N|H
Mr. PEEL.|5236|5237|N|H
Mr. CANNON.|5239|5243|N|H
Mr. PEEL.|5244|5278|N|H
Mr. CANNON.|5279|5281|N|H
Mr. PEEL.|5282|5282|N|H
Mr. CANNON.|5283|5284|N|H
Mr. PEEL.|5285|5287|N|H
Mr. CANNON.|5288|5289|N|H
Mr. PEEL.|5290|5290|N|H
Mr. CANNON.|5291|5296|N|H
Mr. PEEL.|5297|5306|N|H
Mr. CANNON.|5307|5307|N|H
Mr. PEEL.|5308|5308|N|H
