phrase|partisanship
canal zone|-119.989012509905
also petit|-117.662479582972
postal save|90.347013957175
census offic|72.3944767155487
reserv balanc|60.7421653597639
war depart|58.0901589416177
secretari navi|57.2999052002275
secretari agricultur|53.6682961776707
standard oil|-51.3297306524926
indirect contempt|-48.3321827617724
bureau corpor|-48.2789391603617
panama canal|-45.469724400104
nation govern|-45.3891612931641
coal mine|-45.0216959495809
revis tariff|-44.9848170080409
pay pension|42.9405643127024
feet lake|-42.6585769718363
lake eri|-41.9597412249693
republ panama|-40.7701033417304
boat compani|40.6661766043493
print paper|-38.658321120448
pension also|-36.5661124195851
twelfth census|33.4917518097079
forestri servic|32.4419866182976
porto rico|30.3160816618032
thirteenth street|29.7854990917019
director census|29.5981896634377
govern canal|-28.5769794421575
submarin boat|27.425234060293
american peopl|-26.9388191326711
perman census|25.0007081977327
census act|24.7763740456405
railroad compani|24.7300406267994
tariff tax|-23.7420957129192
ship subsidi|-23.3782748070734
commerci paper|-23.0855849367212
powder trust|-21.9462533520046
capit surplus|-21.2053933198979
isthmus panama|-21.1598268997405
feder court|-21.0571693506089
erect build|20.9019037470755
peopl countri|-20.7797641132716
bureau mine|-20.3063311741016
suppress rebellion|20.0899375739355
univers transfer|19.4865379449657
increas salari|19.1827883965564
commod claus|19.114514919568
refere board|-18.2412361966265
retir list|18.2280742119954
engag interst|-17.8357117732493
bureau chemistri|-17.610581768609
trade union|-17.2524613802136
necessari life|-17.223241254862
war widow|17.1957333440548
subic bay|16.9449633215826
paper trust|-16.7037030725481
circul note|-16.5167960641745
union armi|16.2672673392385
privat manufactur|-16.2380618337686
spanish treati|16.1636351280846
railway compani|16.1000877029547
trial juri|-15.6919824735654
san francisco|15.4458341076889
pure food|-15.4263844902737
gold reserv|15.112952930908
naval prison|-15.1063545116991
nationalbank note|14.8500341264182
corpor engag|-14.3227074214392
save system|14.1737601366738
sealevel canal|-14.1439867707931
sailor regular|13.9060064696718
enlist union|13.8385402586473
pay interest|13.7988880930717
print engrav|13.7254865841262
high protect|-13.706928173695
purpos navig|-13.5460223403772
find purchas|13.5278548828882
labor union|-13.5082755807617
regular armi|13.3053884887669
board consult|-13.1563235404934
depend relat|12.9661855127893
competit examin|12.94131600636
confeder servic|12.8183153873977
tariff revis|-12.6332236170214
mine unit|-12.3386366016673
special interest|-11.8601115289343
undesir citizen|-11.7992574216102
citi chicago|-11.4983387538368
oil compani|-11.466549623578
manifest interest|-11.3492811332467
duti appoint|11.2733210808587
lock canal|-11.2100933811202
manufactur powder|-11.1282296239451
taxpay countri|-11.1053203575263
financi system|-11.0637692692183
paper maker|-10.9741859655096
affair also|-10.9395039978488
food drug|-10.76420017405
labor disput|-10.5200264685031
save certif|10.5047391735079
crude petroleum|-10.4895475412418
return command|10.4462370676642
commerc commiss|10.3229808531194
old soldier|-10.3146877807174
firstclass offic|10.2336109101794
ocean mail|9.97488731577656
inland waterway|-9.96336487710203
express compani|-9.86250257972467
establish bureau|-9.80230080711501
boston mass|-9.71590410657502
organ labor|-9.6752139647559
servic commiss|9.63846729841839
origin idea|-9.54011791180483
right trial|-9.33992676784574
paper compani|-9.30537291180181
three block|9.2064715519462
establish postal|9.00980965966392
pension increas|8.97554212150923
also paper|-8.88989443781608
first enlist|8.85351713844541
comprehens plan|-8.81437265497537
creation bureau|-8.53479436728267
favor postal|8.44541925071403
presidenti elect|-8.36439936325772
without honor|8.35971592582501
command chief|8.35208405006586
chain lake|-8.19159876945227
sea pay|7.98796361029135
minimum punish|-7.97693510829393
motto god|7.97172566605503
color soldier|7.7291835758529
interest coupon|7.65918117499151
arid semiarid|7.6465726970563
circuit court|7.53928397424459
accept employ|-7.52876939928175
gold note|-7.52173054021312
rate pension|7.50985126477963
fifteenth street|7.49065678151171
dri dock|7.41350427542485
titl pension|7.09055404598978
naval programm|6.90823412267401
war pay|6.80315274106315
forestri bureau|6.64949350841055
war donat|6.59685143522103
offic corpor|-6.56461426365865
timber contract|-6.4540686532137
demand second|6.39973831183332
trust countri|-6.31847131552418
secretari interior|6.25314497569301
congress advers|6.2073604118645
petit nation|-6.19222025730588
use preserv|-6.07309892623819
human be|-6.05874810953723
built navyyard|6.02381971954145
commerc also|-6.01759907314952
stand armi|-6.01428423523702
present administr|-5.97759092870215
board measur|-5.96774092458678
mine owner|-5.84978492631536
gold silver|-5.59026621918054
pulp print|-5.52600190864274
pension roll|5.50070872487319
ship year|5.4999905938457
tobacco compani|-5.4073654930071
chickasaw nation|-5.34636999700091
divis treasuri|-5.3186096907389
defici revenu|-5.29769724601462
manufactur print|-5.29182926352835
enlist forc|5.29035924810374
pass book|5.25383703821065
initi rate|5.24880637605859
tariff taxat|-5.13716783582929
feder soldier|5.07410893817176
thirteenth fourteenth|5.06199608694978
restor merchant|-5.04313150197226
thirdclass postmast|-5.00868677543989
hagu confer|4.99839556335774
build absolut|4.99800314556654
organ regiment|4.98268312326527
load dice|-4.96390717893896
heroic dead|-4.95483746271577
account offic|4.95064254046925
remov duti|-4.94926208074637
fourteenth street|4.91126836781426
ordinari repair|4.89952055599729
cheaper abroad|-4.88988552543502
injunct labor|-4.84265421482142
feet board|-4.83654967238562
never yet|-4.82948073985596
fortythre year|4.81551608122686
kill injur|-4.80802526820204
last messag|-4.78621487565157
canal compani|-4.7493512979085
widow depend|4.73389969385391
injur oppress|-4.61691710569301
lumpsum appropri|4.57190624609269
build rent|4.51976725115658
infantri war|4.5188477556921
commission corpor|-4.51155298445099
senatori term|-4.5064514429008
timber countri|-4.48753835845695
silver dollar|4.48053340177862
nurseri stock|4.42555481440857
clearinghous certif|4.35044983867932
regard reserv|-4.32242393187772
combin capit|-4.30964783922842
legisl depart|-4.30241035627265
save depositori|4.30218851338848
creat bureau|-4.28620793700851
year timber|-4.26804428737477
danger war|4.25276433352259
public opinion|-4.24954258101067
one yard|4.19881826237113
strike boycott|-4.17552459904323
effici record|4.16392489900581
place classifi|4.14989668999963
govern navig|-4.09236477688645
class legisl|4.03627669800257
penal offens|-4.0338766030065
issu injunct|-4.01073795836722
kill coal|-3.99605305517329
spain pay|3.9822167901044
constitut right|-3.91138428119733
powder govern|-3.8255787695408
copyright legisl|-3.80942136028444
belong state|-3.79945505638104
talk tariff|-3.79445537548615
postal road|3.7931424845753
countri merchant|3.77843244169049
volunt infantri|3.72044700965214
think latter|3.68683715392618
entitl enrol|-3.68418496120896
charg telephon|3.67405534868747
disappear carriag|-3.65035087559785
predatori wealth|-3.64479060144761
four fiscal|-3.63570685296026
next friend|3.61840916601772
build author|3.57750611678194
immedi revis|-3.55271968128635
know element|-3.54463499809914
flax straw|3.5213882238391
pay superintend|-3.51041937824965
navyyard countri|3.48691589841684
cast fortun|3.46130549056322
certif proper|3.44363913182053
provis bureau|-3.44001487634998
naval offic|3.42808174428186
census make|3.42483757083368
oppos ship|-3.41612295031771
anonym communic|3.34251604682407
said speech|-3.31216477793743
mine countri|-3.31107681332161
emerg currenc|3.29928881320224
negro troop|3.29716638276969
campaign fund|-3.19977211897204
stood behind|-3.19168495980572
public regard|-3.16329380799344
leav copi|3.16185978945564
guilti embezzl|3.15457614009729
census period|3.15155221046297
administr indian|3.14788306986762
slackwat navig|-3.10658855890848
commiss view|-3.06055870275592
currenc legisl|3.04446343549273
print bulletin|3.04344839350685
central reserv|3.03734042902949
second regiment|3.03125464743217
employ postal|3.02192611662952
publi build|2.99616314422191
deposit postoffic|2.97860705785494
japanes vessel|2.94309893513612
alway alway|-2.90772819202737
co control|-2.90481880923737
great termin|2.90423531520927
distribut made|-2.89247138956518
corpor violat|-2.85583450276209
question postal|2.77627132536696
statut forc|-2.76880359670544
pension paid|2.76815357547539
postroad also|-2.72106409274374
rob mani|-2.72023985204039
time shoot|2.71451124642922
indian war|2.70595070889934
author compos|-2.69320312673587
clerk pension|2.6907111193856
third assist|-2.68358635687849
superintend build|-2.67575947937927
whether capit|-2.65840985338586
uncl joe|-2.65542090431941
surgeon navi|2.64167320635131
exercis function|-2.59631036317638
construct isthmian|-2.59462489670554
treati claim|2.57863800126881
made labor|-2.57590357160162
valu present|-2.51589308557857
explos mine|2.49857590550352
select civilservic|2.48334507530349
watersh navig|2.48166268370316
class offens|2.47241716556859
much lumber|-2.46849185577436
place platform|-2.46255377160207
equal exact|-2.41185706648389
statut larg|2.39010724753536
pay warrant|2.38959652268359
one bureau|2.37850154622769
transact exchang|-2.37471009723623
held public|-2.36019950968202
purpos induc|-2.33675305409271
purchas timber|-2.25601985662198
statut base|2.24837937649136
govern powder|-2.23402847223275
men select|-2.21534455283802
lawmak bodi|-2.21065495846152
give heed|-2.2092399678678
withdraw file|2.19751579205297
honest due|-2.18453536152481
public deposit|-2.17152667252874
preserv food|-2.16650161812618
bureau print|2.15008460034862
upon promot|2.1500520193693
citi letter|-2.1260674783059
repres mine|-2.11019470750819
claim also|-2.11003316950238
sentenc bill|-2.10320937034982
charter constitut|2.09901576632885
hospit insan|2.0947748350173
enter convent|-2.08978942967902
account railroad|-2.06575045088455
best mode|-2.06038676767293
foreign shipown|-2.05259319650173
desir ascertain|-2.04907653693861
repres confere|2.03795170063678
safe keep|2.03723794947589
civil contract|-2.03636881992083
use opium|2.02932355221757
legal name|2.01317475383604
suppress trust|-2.0089562353133
trust charg|-2.00548444504865
ship navyyard|1.96279209153113
servic absolut|1.92438713555119
lake boat|1.92340868586974
director made|1.90099971764716
mail unit|-1.88740288179713
futur rate|1.87333675851704
sixth regiment|1.87135009343385
measur reliev|-1.87085075169251
offens might|1.86250618195137
armor armament|-1.86185393235112
advanc step|-1.86145780929574
remedi suggest|-1.83470730612309
end lake|-1.82790601947577
pass base|1.81603250195015
inelig offic|-1.81276076286638
popul indian|-1.81179850865055
place honor|-1.80320885661658
join compani|1.79841875088068
worth probabl|1.79535511944419
submit examin|1.786391810179
secret agent|-1.78548256448442
necess commerc|-1.77846883246209
general overhaul|1.7619470067325
know understood|-1.75435457190449
thirti time|-1.7355407461483
revenuecutt offic|1.73072304132015
first regiment|1.72038554067688
item head|1.71480876033141
registri vessel|-1.70713175865753
inquiri examin|1.69302367309241
newli acquir|-1.68074761923349
taken allot|1.67096212032613
account send|1.65597563231509
exist evil|-1.65030103597284
paper claim|-1.64746456444937
bribe offer|-1.64700854579497
econom administ|-1.64106651951599
mountain section|1.63255257406194
meritori measur|-1.62811836210411
crush competit|-1.62328529138383
interst commerc|1.6187451365871
wholesom legisl|-1.60729443217111
valorem tariff|-1.60417724032641
old road|1.60079124422404
account averag|1.57295750136425
discuss caus|-1.57081793856744
salari suprem|1.5423372210452
fault mine|-1.524598833336
typograph union|-1.50997439922115
want miseri|-1.48771963779148
corpor interst|-1.46046882439191
fuel compani|1.45614708610804
imposs commiss|1.45159358588303
regul armi|1.44998528626111
currenc propos|1.43932121479557
strike record|-1.41813937352138
mountain southern|-1.41433823346457
eastern middl|1.40722370405894
great trust|-1.40534613370927
object constitut|1.40114056421833
census made|1.39682708495186
upon pacif|1.39388875352787
locat construct|-1.39182998612222
perfect provis|-1.38826108527933
hotel build|1.38406447073476
knot speed|-1.37551819007294
paid panama|1.37335848486584
hour labor|-1.36197641899453
noth mere|1.3407366061712
come constru|1.32855483533395
establish lighthous|1.32005537494116
patron rout|1.30654307969346
offic mint|1.30598980639569
construct steam|1.28829874642131
year christ|-1.27429901924822
citi give|-1.27092972137942
ill reput|-1.26332965406054
remark spectacl|-1.25973474335046
charact done|-1.25877299030937
report accid|1.23558142694025
also balanc|1.23065700924066
juri charg|-1.22844902683648
letter packag|1.22606787582745
entir build|-1.21307221817382
railroad coal|1.21159948210796
total reserv|-1.20728804680292
letter larg|1.19837723853979
reserv one|1.19576789049939
timber purpos|1.18902142751869
obstruct navig|-1.18493222718882
stand soldier|1.17781528924286
aye result|1.1725830959986
room offic|1.17121294308109
procur passag|-1.15643845372116
exercis enjoy|-1.15548262302115
behind gun|-1.14666702018632
much timber|-1.12459996554171
eighth rule|-1.12057822415951
demand commerc|-1.10957769159612
men salari|-1.10118892765779
wide distinct|-1.09395228395727
might loan|-1.08719275666723
disabl contract|1.08448372374438
ago court|-1.08382956394322
allow damag|1.07378529884759
take clerk|1.0729504757053
hundr ninetyon|-1.07262162767768
take circul|1.0724511074368
understand interst|1.07098852069481
corpor combin|-1.06484591103657
gas compani|1.06253421756073
two fleet|1.05714162411972
equal demand|1.05654735911058
chief order|1.04747664878863
make elig|-1.04651850064071
control philippin|-1.04354102492662
zone act|-1.03754278869253
desir navi|1.03145291137824
oh simpli|1.02461682290113
expend pay|1.01550185021647
appli obtain|-1.00024914979454
use track|-0.999067002821557
purchas coal|0.990906902493941
clear farm|-0.986453370389264
speech reflect|-0.969817995158037
tariff collect|-0.968747122532198
honest toil|-0.960509221147132
soldier fell|-0.953774127892759
upon revenu|-0.95141493815835
regul liquor|0.948185803849664
cooli labor|0.946700483997213
make manifest|-0.944673138653436
govern postoffic|0.936168190872349
war mind|0.931052411873173
foreign fleet|0.915423546593112
done offic|0.914057686280936
irrig scheme|0.913869009025959
propound anoth|0.905558830375369
island charg|-0.904796768000538
color offic|-0.89235517998961
failur legislatur|-0.890499597829179
match co|-0.882994200622492
print agre|0.879648856359827
year ago|0.874236828156458
opinion naval|0.873091908597736
postoffic offici|-0.866638642440641
general schofield|-0.85217289013139
war auxiliari|-0.839112136187001
manufactur reason|-0.8353259838249
presid claim|-0.828502254593763
punish provid|-0.818739388427759
salari rather|0.808707313347482
made higher|-0.803286204448703
secondclass mail|-0.80076893907795
public common|0.800101195900416
hour eight|-0.794204773919473
cattl hide|0.7920404925701
