phrase|partisanship
unit nation|-159.895483081289
depart agricultur|89.673026505336
calumet region|-75.6096524589915
concili servic|-69.8400973126643
foreign countri|67.4545778393915
steam plant|66.656529223532
coast guard|62.8129850797125
labor standard|-62.5506905526247
state depart|59.0952979444394
depart labor|-54.1324704003689
collect bargain|-49.0059533669801
standard act|-48.5941321954174
air forc|46.7022908911859
stop communism|46.1014609717228
nation debt|44.9179998294928
polish peopl|-42.2191875183473
pay roll|41.3472795562561
budget estim|-40.1778663976106
employ servic|-40.0809859140361
arm forc|39.8136097977862
side aisl|-39.2055927240345
american peopl|38.354792166299
commod credit|38.3490124924938
commerc commiss|-37.4818831302622
labor union|-36.999920180492
associ manufactur|-36.7749215820786
secretari agricultur|35.4840454406991
veteran administr|35.2670104381965
tax refund|-34.588004023804
tax bill|-33.5040082627298
take care|33.1143036704052
farm program|-32.5070848756575
credit corpor|32.1140548641854
veteran affair|31.9589509016615
fuel oil|31.3355082087055
unamerican activ|-30.9588446086613
labor disput|-30.8373566111264
year ago|-30.7241025734073
realest lobbi|-30.6504780567243
american taxpay|30.6004534103502
atom bomb|-30.5231530213683
labor relat|-29.7126774306556
communist parti|29.487589799055
central valley|-29.4414624420477
state employ|-29.0420319844875
unit kingdom|28.8698361186601
nation guard|28.6054387241748
wage earner|-28.4406250316472
way life|-28.2851681989926
reserv object|26.5841723728471
legisl budget|-26.4222390449536
take away|-25.9844716960606
presid budget|-25.7011725877997
labor organ|-25.5760271001034
cent hour|-25.5169674427268
interst commerc|-25.3976130910552
secretari nation|25.3323639532531
intern labor|-25.1615359173546
schoollunch program|-24.5470910907644
big busi|-24.4433331282166
approv compact|24.1717486535549
industrywid bargain|23.5026352622065
feder reserv|23.3819610356493
minimum wage|-22.8821415160875
great mani|21.989405162693
european recoveri|21.5697894037778
foreign nation|21.4578136668434
excis tax|-21.2270064176312
nation associ|-20.6192000301204
takehom pay|-20.5725513047204
western europ|20.5529112794157
jew palestin|-19.6619083694025
come countri|19.3664330505933
fat oil|19.0333420994456
sale tax|-18.712669302076
polish nation|-18.7115467766199
give away|18.333525505827
point view|18.304640385153
econom rent|-18.0855289036462
scienc foundat|17.9092604502918
freedom liberti|-17.8732935325718
export control|17.8672830917234
human be|-17.7004996974265
mani year|-17.686265557262
communist activ|17.6351334928924
labor manag|-17.542894847212
second war|17.5223629299311
recommend presid|-16.9770058438942
jewish state|-16.8319572703434
control atom|-16.7877738305475
rent control|-16.7776641439615
spread communism|16.67079383741
feder treasuri|16.0690832867941
secretari navi|16.0673543332489
enter unit|16.046032200898
pariti formula|-16.006113733791
nation labor|-15.767520510339
cost bill|15.3075609880894
zone germani|15.0054847240082
walshhealey act|-14.8219338630819
privat enterpris|14.5740646861822
morgenthau plan|14.3840789504803
rent increas|-14.2436460663688
bacondavi act|-14.2209203646669
scientif research|14.2157250466745
one outstand|-14.1933833668058
puerto rico|14.1178671524289
socialsecur program|-14.1082902802239
activ duti|13.8410263665049
reconstruct financ|13.815505945697
elig regist|-13.6380592799638
quota immigr|13.575639620823
foreign polici|13.2862841867427
soilconserv program|-12.7983514770715
admit unit|12.7633703208731
munit board|12.7481339705676
spend spend|12.7042248632545
construct steam|12.6891895101202
petroleum product|12.6560551110445
civil liberti|-12.6202965064962
citi detroit|-12.6173217526386
depart commerc|12.6133110530164
jewish peopl|-12.3802886665471
subsist allow|12.2861763951432
refuge organ|12.2719503727669
voluntari enlist|12.2639767861662
hour administr|12.127557678049
casimir pulaski|-11.9481021705725
govern corpor|11.9343552103388
daili worker|11.8191137528446
account offic|11.7249108001514
relat act|-11.6077221318966
increas rent|-11.600441109039
made avail|11.5597730399277
natur resourc|-11.5418622648714
civil war|-11.4862526296025
militari aid|-11.3642021751212
deleg intern|-11.3256041223425
secur council|-11.2148127319144
state concili|-11.1979862607854
panama canal|11.1215638180697
nation defens|11.0424439809372
economi countri|10.9153084698881
labor legisl|-10.7433115189562
interim aid|10.741932904232
veteran prefer|10.7292847991361
tafthartley act|-10.7287403776955
general pulaski|-10.6562013331676
union shop|10.6407211714146
boulder dam|-10.3218099397334
unemploy compens|-10.263714537543
peopl countri|10.1678197335327
manag labor|-10.1436831293858
feder control|10.1089031328888
lead zinc|10.0991442432774
public road|10.0940722870406
strateg materi|10.0681849651172
labor movement|-10.0181931094969
postal employe|-10.0076008533352
pacif northwest|-9.9467471710207
reserv compon|9.92588567667977
nation world|-9.92206210192495
natur gas|9.91600748986318
railroad retir|9.87914263289782
increas takehom|-9.81884364595891
rent administr|-9.79949104506607
british loan|9.74249469063556
nonquota immigr|9.71619196418256
quota system|9.70058720682487
product gather|9.68357010584825
present administr|9.68328358929488
annual confer|-9.57641539284847
secretari labor|-9.53784775026
bureau reclam|-9.52319150175494
farm machineri|9.45637184198091
foreign wool|9.45467368725038
regular armi|9.38369330510835
socialist govern|9.35964827208568
privat school|9.35759340166802
polici board|9.32646710215016
veteran employ|-9.28915307226234
two hundredth|-9.21751795413808
lowincom famili|-9.21507432344302
railroad employe|-9.17796043531121
secur organ|9.14558796187411
fals economi|-9.09447509530066
war profit|-9.07118489602957
industri strife|-8.99272831406037
tax appeal|-8.98358670950627
school lunch|-8.98112146095043
confer geneva|-8.9604972303328
foreign affair|8.95696175266035
nation incom|-8.90000936797054
next kin|-8.83411145047839
liabil act|-8.75272320746007
unorgan worker|-8.73951137597277
enact posit|8.73879049176196
great britain|-8.63573874903872
export licens|8.62167438093724
maximum rent|8.61685469907978
daylightsav time|8.61138112011294
medic care|-8.58648377872351
mass peopl|-8.58634123994907
public health|8.5141117036613
