phrase|partisanship
arm control|-138.067462430247
star war|-92.5485307249255
freedom fighter|74.4555327769055
trade deficit|-56.015041962513
reserv object|47.3756550367577
mx missil|-44.3493667214684
el salvador|41.6219284132204
budget resolut|40.3462204071695
rais tax|38.7175189448904
side aisl|36.710183446075
unit nation|34.9757604199959
task forc|34.8309457896164
nuclear war|-34.734892253314
colleagu support|33.9096849876815
aid contra|-33.7722892816134
year ago|-32.6649974021139
debt ceil|31.1072702805037
job corp|-30.1643191870546
interest rate|28.8813412941468
nuclear arm|-25.7229199903395
salt ii|-25.5319261791646
budget process|25.3049863305304
tax reform|24.1189136336774
defens depart|-23.8440680995756
farm bill|23.2956949743498
colleagu join|23.0304055813733
world war|-22.2293370833576
administr propos|-22.183228432724
illeg alien|21.9021674767988
think import|21.2919354027039
tax increas|21.1217896732428
come floor|20.8859860560132
feder spend|20.8708061490084
bargain chip|-20.8048434686701
member side|20.4842275193661
product liabil|19.9843260602597
state depart|19.8626010215635
miss children|19.5451281817901
soviet empir|18.7208749300359
war drug|18.5721133524947
communist parti|18.2435612917644
militari spend|-18.2308803515448
latin america|-18.0399366590701
author bill|18.0031431836709
reconcili bill|17.8068605842774
control agreement|-17.6530772610737
feder reserv|-17.6421565818673
communist govern|17.3932497156136
nation guard|-17.2236099089988
nuclear test|-17.0295804298882
tax bill|17.0123150870158
rise support|16.9648464046142
joint chief|-16.9093084391351
natur resourc|16.8802932741101
construct engag|-16.4644080469286
peopl eighth|16.4417168269326
death penalti|16.4110945300498
local govern|16.0611253376445
state local|15.8425492808665
chief staff|-15.7280175046234
control act|15.701150608872
rural america|-15.6780380261036
demand second|15.4793937137679
central america|-15.3916607538656
american worker|-15.3025182287126
user fee|15.2177070425905
republ china|14.9198378460152
foreign polici|14.816186305189
reserv balanc|14.7976422670374
compar worth|14.7655481023466
cargo prefer|14.7355690357257
presid budget|-14.5737342240781
weapon system|-14.4877470766592
state soviet|-14.3253577738327
militari aid|-14.2816514940708
civil rico|-14.2551709654857
immigr reform|13.9334259522229
budget deficit|-13.9175897916688
object legisl|13.9108532873782
human right|13.8717339199921
nation defens|-13.8386517948017
war ii|-13.736474974033
peopl countri|-13.7329070683764
farm incom|-13.6977214862451
debtor nation|-13.3778419768457
foreign languag|-13.2933262551842
armenian genocid|-13.1149004213174
reserv board|-13.0575118708583
american peopl|13.0076915813884
natur gas|12.9869379854764
chief justic|-12.8095488756866
fight freedom|12.7896539116114
control spend|12.7160164790959
defens contractor|-12.7041936087587
million american|-12.5715413639258
come back|12.4342608089468
liabil insur|12.4203844061551
distinguish friend|-12.4177368794601
san diego|12.3391364186575
trade polici|-12.2431768670665
base mode|-12.1379620647904
overthrow govern|-12.1217017215706
appropri process|12.0268826872687
abm treati|-12.016359090899
depart agricultur|-11.964788874498
reduc deficit|-11.9278444056229
stamp program|11.8599899320719
senior citizen|-11.8240989534518
domest program|-11.700685020467
revenu share|-11.6590155812648
foreign assist|11.6543121817436
budget amend|11.5839278057282
support contra|-11.446552149217
coast guard|11.323178133263
nicaraguan govern|-11.3034656718855
sandinista regim|11.2221361479431
news media|11.1479586138546
remind colleagu|11.1388131979321
humanitarian aid|-11.1317317389284
aid freedom|11.0784661623245
fund contra|-11.0213314557693
accord urg|10.9956374939066
travel tourism|10.9455017010176
make sens|-10.9433415407871
secur interest|-10.8957556219579
particip program|10.8783549259773
nuclear warhead|-10.8643174028142
nuclear explos|-10.8386371327366
saudi arabia|-10.8065878101581
tax system|-10.7844403104694
justic rehnquist|-10.7675258820788
weapon test|-10.4722883475681
administr polici|-10.4659095797586
defens initi|-10.4325904939922
econom polici|-10.3904728860557
tax rate|10.3835844799419
militari budget|-10.3713249516169
middl class|-10.3566982837096
cruis missil|-10.236755933307
air forc|-10.2313975908511
famili farmer|-10.1613383239157
farm credit|10.0410261293587
averel harriman|-10.0335293481648
first strike|-9.9630528198907
higher educ|-9.9519720207905
welfar state|9.94809645993683
budget propos|-9.90762611159067
war nicaragua|-9.90145325982005
comprehens test|-9.83880999627632
militari forc|-9.793205378777
fiscal respons|9.78044368016697
drug use|9.66377641689267
health center|-9.58112792928683
african govern|-9.55890667516402
procur reform|-9.53750884349287
subcommitte energi|9.52700458337098
depart justic|9.4955082414443
lost job|-9.36348273271168
arm sale|-9.30651867433152
go get|9.2952759638901
billion dollar|-9.1398346535608
nicaraguan communist|9.1243179303249
deficit reduct|-9.05971282732872
soviet govern|-9.0510821274645
trident submarin|-9.00359907643375
war program|-8.97859940307737
urg presid|-8.93764023584716
high school|-8.92574690949286
budget author|8.92247677465078
communist regim|8.75899418195781
communist sandinista|8.72793240629254
friend left|8.67133848395199
certifi winner|8.65089243643175
address wife|8.6149031382905
great basin|-8.59763814718914
presid propos|-8.55679274233882
drug test|8.55653203554304
assist secretari|8.55568267642042
last night|8.55164569303906
support legisl|8.52073750724963
union home|8.51570363021602
antiapartheid act|-8.49069902482291
spend program|8.41548378487655
administr want|-8.39405487287935
author level|8.37133988536757
profit corpor|-8.36885411644615
just want|8.35868716461538
nuclear arsenal|-8.35410805587638
govern nicaragua|-8.27165065134059
support contadora|-8.25830748813934
increas militari|-8.24622652635761
street journal|8.24137240521216
air traffic|-8.19637293473574
health safeti|-8.16118789074921
justic depart|-8.11599420892206
drug abus|-8.09618236852271
illeg immigr|8.07011044672033
polici administr|-8.05859835192596
contra aid|-8.05491803739148
unit statessoviet|-8.05069082532753
congress presid|-8.0371362814085
communist dictatorship|8.03405246995836
fighter nicaragua|8.02969741723183
overvalu dollar|-8.02723059059932
famili plan|8.02589530779882
trident ii|-8.02510451887458
drink age|7.99429062028178
year administr|-7.93179118572219
emerg deficit|7.85343201048763
ethiopian govern|7.83462080174578
juvenil justic|7.82308268941242
great lake|7.76073562723352
contadora process|-7.75981617994091
home address|7.74784347398768
arm forc|-7.68662216726682
assist contra|-7.67503906041925
congression budget|7.6680009032399
sequest order|7.65918400649026
guard reserv|-7.63094785063961
american taxpay|7.59582434917185
soviet bloc|7.59451819427435
hong kong|7.5727056320662
take look|7.49575968597206
go rais|7.44200094736357
revolv door|-7.42166324920061
insular area|-7.4171768659965
shee atika|-7.36280267581494
veteran affair|-7.34310206360352
tax relief|-7.31533457334078
caucus budget|-7.28805209176239
might add|7.28581787513368
intellig agenc|-7.2561520052469
oil compani|-7.24165937528163
perman resid|7.1695504690837
activ measur|7.1264369205766
drug traffick|7.05868671019237
line item|7.0528652988557
red china|6.98551174365984
feder facil|-6.96099712284268
