phrase|partisanship
american peopl|305.624154067053
homeland secur|-272.651390468357
climat chang|-178.840544908661
gun violenc|-177.279619896134
african american|-150.267980896528
vote right|-148.596026324792
public health|-146.834629861333
depart homeland|-113.868185288876
al qaeda|108.141035321196
men women|100.765124355108
side aisl|100.308033625832
plan parenthood|-95.3588613517052
afford care|-93.0012539425863
puerto rico|-92.2840862689644
right act|-89.4867336005513
background check|-87.8417136568961
care act|-87.7080479926648
human traffick|84.1903881943856
colleagu support|83.4850202927509
middl class|-75.5067327584349
religi freedom|74.0513314558015
taxpay dollar|70.3802152207887
mental health|67.0458572830505
univers phoenix|-61.3845561227947
student loan|-60.4106981343942
mass shoot|-60.3730435342372
reauthor exportimport|-58.0584821470254
minimum wage|-56.9670987806723
year ago|-53.2464541172133
radic islam|53.012228947772
nation debt|52.2741245988036
immigr reform|-51.1099595671096
million american|-49.795401487466
tax break|-47.97129557993
nation defens|45.3273099797643
ballist missil|44.5919537574055
mental ill|43.7840335896513
tar sand|-42.9514673768286
support rule|42.8063307553008
under bill|41.6896573689487
moment silenc|-40.953422216062
air forc|40.8196394907153
come togeth|-40.6212964691525
reserv balanc|-40.5419847738676
tax dollar|37.8817487993533
fossil fuel|-37.7520904663207
employ mandat|37.2838442939234
econom growth|37.2435899485908
sanction relief|36.3770444115483
american taxpay|35.879963847355
fund depart|-35.6421440122214
buy gun|-33.7477454063564
inspector general|33.6124272910186
govern shutdown|-33.367394100866
boko haram|-33.3292650425312
assault weapon|-32.9017468047045
tax credit|-32.7500626892664
energi effici|-32.6936718014122
illeg immigr|32.6413263825001
sea level|-32.4043211380496
coast guard|-31.8184432595831
attorney general|-31.5393026158936
special interest|-30.7810764392864
support bill|30.3325835164176
clean energi|-30.0845199862245
opioid addict|-29.9166175751218
first respond|-29.8083733048485
wast fraud|29.6072711717307
fund bill|-29.4697755270657
task forc|29.3166126481694
foreign polici|28.9520682818395
right movement|-28.9095706837203
health safeti|-28.8483049141649
million peopl|-28.4867979719204
san antonio|-27.8034006146761
state depart|27.4131920268753
transport infrastructur|-27.0919143868277
gi bill|-27.0454591883595
sanctuari citi|26.9950201454838
iranian regim|26.4326496772584
public servic|-26.0512395540803
head start|-26.0028854598308
feder regul|25.575092133711
muhammad ali|-25.2121932097076
crimin justic|-25.0836945434684
justic system|-25.0777222039137
foreign fighter|25.0297888809371
year old|-24.9680105798194
protect public|-24.9041586953828
repeal afford|-24.7530825605375
local school|24.5653521313409
guantanamo bay|24.429652556817
devic tax|24.4054726109275
donald trump|-24.3769278163687
red tape|24.0119690584966
confeder flag|-23.9597546172817
congression budget|23.8610065413318
american energi|23.8087386460151
carbon pollut|-23.7564574696086
veteran affair|23.7125035575997
rais tax|23.5955443092647
back home|23.4833460238763
communiti across|-23.4575209701662
colleg univers|-23.2603655468559
war terror|23.0981606928296
internship experi|23.0704860283811
sponsor terror|22.8791559984098
radic islamist|22.8702160206749
medic devic|22.6594908236634
import legisl|22.3197896165234
cyber secur|-21.737689289945
job creation|21.6546794399176
creat job|21.6358649454862
keyston xl|21.3538803946902
comprehens immigr|-21.3338020416788
death america|21.305791010737
close loophol|-21.254197305346
women serv|21.2127732966958
job creator|21.1428415289518
clean air|-21.0779678965161
state sponsor|21.0657670264589
expand background|-20.9415043545495
hardwork taxpay|20.6664484129835
secur fund|-20.5772959896348
taxpay fund|20.3602112430983
frivol lawsuit|20.1224759402544
right thing|-20.1024638815877
trade promot|20.0630608750593
broken promis|20.0573064911813
promot author|20.0479988780283
properti right|19.8681848537543
encourag colleagu|19.6483694251507
smallbusi owner|19.6108684833398
govern spend|19.5529998726722
fifth congression|19.4710643063059
roll back|-19.4459336371314
consum protect|-19.3397881236126
gas tax|-19.3336110951893
lgbt communiti|-19.2280623447042
take away|-19.1384981123134
school board|19.0989024560348
tax increas|19.060793320396
trillion debt|19.0454652249511
gun safeti|-19.0348825763862
member side|18.9491751494852
watch list|-18.9428751092625
support legisl|18.9255177677823
global war|18.8965005798034
peopl puerto|-18.8312831550014
trade agreement|18.8284347977549
keep gun|-18.7643930741259
terrorist watch|-18.7185744174553
terrorist attack|18.5808385368867
continu success|18.5160926043366
oppos bill|-18.4901878189697
nuclear program|18.4439190002789
intern revenu|18.3524627961433
attack women|-18.3077376380535
bless troop|18.2176384499085
medic research|-18.2078309296263
equal pay|-18.1751630430391
fraud abus|18.1515558791136
victim gun|-18.1503347585344
health dispar|-18.1402710042275
cord blood|17.9259867772093
fli buy|-17.836484195394
women uniform|17.7010289532188
energi secur|17.5677682102699
found father|17.5433800938251
birth control|-17.3854149723596
execut overreach|17.3590546312411
xl pipelin|17.319639643896
polic offic|17.3172184482597
budget offic|17.2844395137521
mandatori spend|17.2201405342531
american communiti|-17.1772850113486
unborn children|17.1516079017811
go colleg|-17.1059549411734
billion dollar|17.0341748126729
diseas control|-16.7814439834322
extend sincer|16.7270354899129
member support|16.5117152272725
presid said|16.4708608844151
govern account|16.4365993793135
prime minist|16.4355436392873
pregnant women|-16.4025628258187
compet reauthor|-16.3893158237296
conclus god|16.2122953884495
secur bill|-16.2122329130918
invest infrastructur|-16.2062846174248
religi belief|16.2004541444153
worker devot|16.1904144999387
crimin alien|16.1237976087322
lift sanction|16.0551985224019
command chief|16.0500419616073
user fee|-15.9675839804373
fight isi|15.9431710901069
suspect terrorist|-15.9248052952901
big govern|15.8457071309956
access health|-15.8117375359749
shut govern|-15.7474432119428
god bless|15.7202212071361
patent troll|15.659224430255
human life|15.6559584619319
regulatori burden|15.5989732542096
take action|-15.5778711530554
religi liberti|15.530631797929
forc arbitr|-15.5116738766204
bloodi sunday|-15.4886485604653
renew energi|-15.4815942468026
regulatori overreach|15.4795196456038
center diseas|-15.4447822838912
budget cap|-15.4104508579113
suprem leader|15.360995933513
fast track|-15.3350977489437
discretionari spend|15.2922812239774
insert text|-15.2591425290081
fuel industri|-15.2496157161704
highway trust|-15.2438078196453
impact climat|-15.1801303956903
illeg alien|15.0273885829722
drug court|15.0233549513973
achiev gap|-14.9686833847241
