phrase|partisanship
feder reserv|-105.04757682187
volunt infantri|-82.0463443784656
great britain|69.0995191121414
lock dam|60.7445261646964
peopl countri|-41.9873862710267
foreign countri|36.5945111916441
special privileg|-35.8764891794558
soldier sailor|-35.2708085728442
potato starch|-35.02096050597
reserv board|-30.7598191578112
armor plate|-29.9418505239159
know whether|28.3006016862679
feder court|-27.6333932352244
navi yard|-27.5901688608846
secretari navi|-26.7443844646003
ship board|26.1064297482295
civil war|-23.8271841933388
year ago|23.7082540090439
botan garden|23.6913364144899
coastwis vessel|-23.0455437506444
feder treasuri|-23.0322138720253
industri corpor|22.8360457859493
region reserv|-22.7561072006784
american peopl|-22.4733790341158
vocat educ|21.9370962272186
interest rate|-21.759201919723
tariff tax|-21.7232895216446
rock creek|20.8527380577147
restraint trade|-20.4698491964767
select custom|20.4438326012423
war depart|20.0178779159224
high protect|-19.5243107827591
muscl shoal|19.5234203094704
secretari treasuri|19.3850319874653
unfair competit|-19.3758305664351
old constitut|19.0996959558949
foreign nation|19.0386383981042
pluck board|18.5841924558565
wage earner|17.931992156511
first place|17.9308536196669
dr galloway|17.8974383649173
pension increas|-17.8809779769578
chief engin|17.3871460869985
volunt cavalri|-17.2218400838412
tax upon|-17.1660525237489
foreign labor|16.7657781675952
pension roll|-16.7286600555572
rock island|-16.4658949693628
frankford arsenal|-16.4642320601701
postal save|16.3276361685752
daili capac|16.2242324380867
increas salari|-16.0815492104391
duti upon|-15.7686683466811
porto rico|15.558813406917
linse oil|-15.4156946567224
bureau mine|-15.3480476003118
public treasuri|-15.3314820125732
assist postmast|15.0924665077636
organ labor|-15.0204792161414
san francisco|-14.9254082364761
protect american|14.9127388690965
engin report|14.7842220570817
public servic|-14.2883214077424
govern aid|-14.2874294376102
pacif coast|-14.1818667214023
word affect|13.8109350464357
class legisl|-13.6256885986587
privat manufactur|-13.5389358116866
supervis architect|13.4024426969212
secretari interior|13.3780984671166
revis tariff|-13.0220164980565
secretari war|13.0190516832664
pay rural|12.8476393054346
wage paid|12.6487333390079
primari elect|-12.3660090546038
central america|12.352987050122
governor general|12.3098750701372
local engin|11.9923329526631
