phrase|partisanship
pension also|-408.916903668099
american peopl|-98.8484052532025
radio commiss|-90.3224652936461
war depart|85.6423527328184
take care|81.0214135391134
spoken drama|-75.4903500271473
civil war|-68.1209789795621
trade commiss|-67.2767352750444
foreign countri|66.0851914312073
muscl shoal|65.3157513873734
feder trade|-62.9336141918282
steam plant|53.9963021926445
nation guard|51.8022151239723
air corp|51.2408928755176
wave length|-47.6199428363101
creek dam|45.6989980495024
cove creek|44.0889134523437
american ship|42.749098010102
imperi valley|-41.3217918661696
bureau budget|41.1562788830241
reserv object|39.4547059139167
comptrol general|39.1332308042763
great britain|38.3830179659759
flowag right|-37.4375192312985
horizont increas|36.8751503605616
san francisco|36.5931863970379
commerc commiss|-35.5223062758418
nationalorigin claus|-35.2927017896017
citi los|-34.9127622988616
ship board|34.625803155206
coast guard|-32.8468325529261
cost product|31.8351601519249
navi yard|31.7018405669782
heal art|29.3214610996933
report valu|-28.8694969319217
rate structur|28.5560674430989
scout cruiser|27.9788882124126
product exclus|-27.3249004254207
nation capit|26.7510394012856
human be|-26.555721263579
build cove|26.2012978555242
public school|26.0982542732946
organ reserv|25.9987234699326
mcnaryhaugen bill|-24.9865306415723
general gorga|24.3304609029855
govern yard|23.5667183551579
budget estim|22.9885978446996
stand armi|-22.7501817318406
account ill|-22.3750798732663
construct maintain|21.4712086439299
director budget|21.093219162297
seven state|-20.5608646908775
disabl emerg|-20.5052496882553
air mail|20.3371105493646
men women|-19.8052956844357
porto rico|19.4284890564496
reserv offic|19.3158016735495
public util|-18.1673597834728
upper state|-17.5187146150554
governor island|-17.4225450607782
census taken|-17.1525998185941
cent kilowatt|16.4764633555074
equal proport|-16.2352465061387
lieuten colonel|15.9605471364251
export rate|15.9197166338209
method equal|-15.6336319720714
pay act|15.4155756593556
intern revenu|15.0855633981538
phosphor acid|14.8794453932788
fruit veget|-14.7482952601728
manufactur fertil|-14.5440259507096
gorga memori|14.1730175830265
father mother|-14.1442287358249
nitrat plant|14.0299053938423
alien properti|13.6584787411317
two light|-13.6555543408501
increas represent|-13.6212259377184
depart commerc|-13.440681716251
pension sarah|-13.4105043909052
state militia|-13.3510472232426
paid worker|-13.2400392930012
public servic|-13.2176430021822
upper basin|-13.2021684293438
nation defens|13.0068418045141
highway depart|13.00207045386
earner receiv|-12.967203586904
naval armament|12.663909189197
depart agricultur|12.6484856008967
militari forc|-12.5869851464602
nation debt|-12.5583105182672
pension status|-12.4896944726933
san antonio|12.3841619320713
haitian peopl|-12.168783998244
certif citizenship|-12.0087737863984
foreign ship|11.7705275370815
radio corpor|-11.6892618709736
human life|-11.5769016277758
expos sale|10.9413294676651
radio act|-10.9242805833366
cent world|10.9133377312755
billion dollar|-10.8603195992745
sup ct|10.567083053999
widow civil|-10.5296974586177
osag indian|10.3073859020738
nation origin|-10.2456617474087
construct cove|10.2425919182972
salt lake|10.0705178193127
lower basin|-9.96166159677965
foreign port|9.79725602439681
crude rubber|-9.79158555647725
citi chicago|-9.73789229078366
employ prison|9.67272389054338
fleet submarin|-9.60945406131228
pay period|9.54158331751945
fix begin|9.44312596664753
know whether|9.28481860977661
announc senior|-9.15002751091068
pension allow|-9.00354432393407
nation cemeteri|8.87289809912681
properti bill|8.84179197612865
graduat tax|8.82060065844477
enter unit|-8.74944956843225
war widow|-8.65864950458398
sound navi|8.62202370823272
generat plant|8.60833058372018
wage earner|-8.431999154448
american coal|8.32620265735415
propon bill|8.26777638712901
make fertil|-8.14865419760209
class naval|8.10226506114927
memori institut|7.99107055099752
volunt offic|-7.79652724848334
privat properti|-7.745664800045
industri alcohol|-7.67802857676195
color peopl|7.65197151692322
warrant offic|7.61409634243446
supremaci sea|7.60173304851362
export trade|7.47687833974399
upon sea|7.45827788450027
cape girardeau|7.45771469592383
cost electr|7.3804834367601
imperi irrig|-7.29974265203991
prohibit movement|7.2597777968927
first zone|-7.21688064895723
board tax|7.18633261215113
care loss|7.15447797701398
militari train|7.00184487089759
state ship|6.94258457797142
german fleet|-6.91967637623901
bitumin coal|-6.89739950359109
partisan section|6.8489564106225
broadcast station|-6.82580561533355
privat yard|6.77733417209471
bureau road|6.75012067726732
entitl pension|-6.73790343808441
freedom sea|6.69367356266822
announc necessari|-6.68189202760468
civil life|-6.54065422847006
canal zone|6.53618245533097
dri dock|6.49336392250776
refin co|-6.43785434837736
independ manufactur|-6.41364693677218
coal foreign|6.39485713854606
popul state|-6.38452474807389
shoe worker|-6.36072718466271
rural communiti|-6.35396086620403
pension emma|-6.26764944819428
hors mule|6.11052136381193
sugar refin|-6.10135405315609
five year|-6.05914372352183
carri american|5.99842811544443
lake citi|5.98643174798091
broadcast licens|-5.87813695230962
traction compani|5.86621350200997
co america|-5.82109990305367
privat enterpris|5.77078995214043
quartermast general|5.74347903270078
plan commiss|5.6953462439644
light cruiser|5.6789202487397
control jurisdict|-5.67748215893849
bureau effici|5.6445033679192
act war|5.63904291104375
oil co|-5.63380014443794
retir privileg|-5.60735892006414
secretari interior|-5.57013169992845
high tariff|-5.53130067538167
children factori|5.50372980106666
radio station|-5.42792859420592
feder tax|-5.3943244904304
revis tariff|5.30948595959482
probat offic|-5.29192682367298
oldag pension|-5.24681725622337
foreign vessel|5.24355264228733
increas membership|-5.05711674788973
commerc articl|5.03844257387094
regul commerc|5.03215797072174
build public|4.9649934427975
seen wage|-4.94534230831852
social justic|-4.93846820571704
regular armi|-4.91172531160791
