phrase|partisanship
interest rate|-89.4282423477934
human right|-61.1633915559746
prison war|39.0033240817536
support presid|38.7223287893429
unit nation|-34.9772206624542
public health|-33.0879355188359
high interest|-31.937008502551
campus disord|31.3417352709309
natur gas|29.5588150840043
million american|-29.0942184393799
postal servic|28.9994040030496
oil industri|-28.1426403579332
school lunch|-27.5104094953152
billion dollar|-27.4375222082793
oil compani|-27.1089015084331
american peopl|-27.0001076202949
defens depart|-25.2651949632775
tax reform|-24.9279538796408
air pollut|-24.0231522929758
public school|-23.2653069674714
distinguish colleagu|22.7266366597655
nurs home|-22.2517282085999
credit union|21.1805074564483
state local|20.3726999412174
bureau mine|18.8174207682954
tax relief|-18.1341105131492
famili assist|17.9788375010667
local govern|17.7398951019484
revenu share|17.4524916414633
men women|-15.7054324211637
presid propos|15.5120770144715
lunch program|-14.7702117500415
parvin foundat|14.7083168759226
senior citizen|-14.1745947904028
stamp program|-14.1446603074544
chemic biolog|-14.0837915837657
nation capit|13.9809900307687
abm system|-13.7513997967921
reserv balanc|13.488827884147
command chief|13.4738016431448
american prison|13.3545967794888
medic care|-13.3263514263452
econom opportun|13.3063509601932
rural america|13.1521787679158
intern secur|-13.0659161608715
geneva convent|13.0296439025364
accomplish renew|12.7187204026106
deplet allow|-12.7167957219854
task forc|12.6923239130218
popul growth|12.5721093373504
note america|12.4898695271416
present administr|-12.465288906901
vote right|-12.155741350931
previous administr|12.0532790759172
justic depart|-12.0454195702736
bar associ|11.7846286685784
nerv gas|-11.7133373428986
support bill|11.6371687534217
demand second|11.6352050992831
faith confid|11.5551293863827
payment limit|11.5063099778651
distinguish friend|-11.4787915353773
like point|11.4406528346441
end war|11.3186189678734
tax burden|-11.1822228405956
commend presid|11.0916743268773
urban renew|-10.9713315849208
account offic|-10.8284303635228
renew faith|10.7946251178301
american indian|-10.7944523638242
dropout prevent|10.7111486789319
great accomplish|10.5799598898022
american bar|10.5793510527025
school system|-10.4512436457225
trade polici|10.4493332342628
tax system|-10.3679130715236
rise support|10.3567133199762
elementari secondari|-10.3389663295996
biolog warfar|-10.0948593373627
atom energi|-10.0453705387073
confid individu|10.0381568677455
