phrase|partisanship
dog coalit|-226.922852358808
tax increas|168.220400851499
war iraq|-149.648192196381
natur gas|143.457544546018
african american|-139.654453506676
american peopl|-121.875124111499
oil compani|-112.525550656063
reserv balanc|105.679794800854
rais tax|84.6723288665585
american energi|76.889638644838
civil war|-70.2806593781144
troop iraq|-69.6421379090931
illeg immigr|68.1818831654075
side aisl|65.0458575815529
continent shelf|63.7270956773363
children health|-61.8200092631142
nobid contract|-60.9521026038568
middl class|-59.4847122824241
outer continent|59.4818501238905
mental health|-55.7365069010332
tax rate|55.3113786907111
million american|-52.7278060010397
presid budget|-51.740862889643
colleagu support|-51.4692854715024
intellig communiti|51.41317696754
iraq war|-51.1396689684934
fiscal respons|-50.053495106029
tax relief|49.6789196623591
americanmad energi|48.7282209740469
war terror|47.6035840346123
oil shale|47.0013269161556
global warm|-46.5828697075621
largest tax|45.8796210739447
homeland secur|-44.9590023836643
stimulus packag|-44.667836159401
paygo rule|-44.4705766018535
support legisl|-43.2614297136181
interest rate|-43.1131192727255
renew energi|-43.090879610906
increas american|42.6168935092187
bring troop|-41.9327017722476
nation debt|-41.8296136422313
troop home|-41.3948981672436
coast guard|-40.1601066817367
global war|38.8607009335858
big oil|-38.5832818630112
illeg alien|37.8282277199506
energi product|37.581446526349
increas tax|36.136560384538
think import|-35.7981167510095
veteran health|-35.5015685126927
general petraeus|35.3369714794819
iraq afghanistan|-35.3369062998281
al qaeda|-34.4043749327127
million children|-34.2612153347127
trade polici|-33.829464967841
import legisl|-33.5330801114104
chang cours|-33.4733679664063
attorney general|-32.9728959740639
come home|-32.5709643818929
tax break|-32.5402886745115
unborn children|32.4681093084323
foreign intellig|32.2214418023401
public school|-31.8102004363509
support bill|-31.7592814765595
stem cell|30.9620036350098
colleagu join|-30.7922774556194
busi owner|30.6936581113221
barrel oil|30.3661636744784
next chart|30.2006617683713
increas fund|-29.8476592492046
saudi arabia|29.832364536426
year ago|29.7191334953064
oil industri|-29.6763501404138
public health|-29.4817368051263
human life|29.43682349869
tax code|29.4088740636485
increas suppli|29.3648739449092
billion dollar|-29.3400585856643
plan parenthood|29.3054268594685
head start|-29.2285433763408
that just|29.2059239940566
hiv aid|-29.169724282284
god bless|28.3036132757972
america act|28.2475801795629
american taxpay|27.7263771910619
cop program|-26.826531243575
bless troop|26.7955877663045
put place|26.6824851338348
crude oil|26.5538193185958
protect america|26.3867959283354
death tax|26.3030928393792
tax polici|26.0288811741096
conclus god|25.8449164785029
abort demand|25.8130525874736
end war|-25.7921621713958
blank check|-25.5988716838228
minimum tax|25.5097028075662
brain injuri|-24.952786893277
support rule|-24.8679553686634
one thing|24.6999768209821
bill also|-24.6636765604413
energi cost|24.5867275612658
gi bill|-24.4419093829567
fossil fuel|24.2976244830147
presid veto|-24.289665124631
student loan|-24.1886528927346
famili budget|24.1287309330929
weapon mass|-24.1232893220804
mass destruct|-23.9956946275439
rise support|-23.917944055774
inspector general|-23.8814008651802
trade agreement|-23.8623916668488
iraqi govern|-23.8045920495206
billion barrel|23.7961839789563
across countri|-23.2259110533661
solv problem|23.1877961339125
lose home|-23.0629930298177
border patrol|22.7778408786585
farm bill|-22.7736986861689
ramo compean|22.7375879924316
progress caucus|-22.7230894078864
