phrase|partisanship
armi navi|81.2192249378922
san francisco|72.5747422486844
secur council|60.4041666586618
full employ|-57.8484563739955
peopl countri|56.3180834510656
arm forc|55.6201040626958
select servic|52.6479721654635
war depart|51.2940286227579
cadet nurs|49.502828969928
secretari agricultur|46.8730998558851
foreign countri|46.8719161509889
war manpow|38.4596988740885
build materi|33.2411384841276
farm secur|33.1393151737508
unamerican activ|-32.3505241189438
general hershey|31.755538223674
unit kingdom|30.1165573176601
draft board|29.592769135426
state depart|28.8305216536996
interst commerc|-28.2284103989783
manpow commiss|27.822231251626
feder reserv|-27.6359115318216
unemploy insur|-27.4191173381127
depart agricultur|27.3558388043757
warbuilt vessel|25.4764008736579
war food|25.1635478969481
govern agenc|24.936102637689
american peopl|-23.8462698237299
unit nation|-22.9091461955374
railroad retir|-22.539774411806
employ bill|-22.4115556512058
privat enterpris|21.1049298717955
labor organ|-20.8375815620504
occup endeavor|20.7255174052919
excessprofit tax|-20.5835851708783
food administr|20.5008119437858
hot spring|20.4617774244408
collect bargain|-20.3549627463212
red tape|19.6333738381176
war program|-18.9044662092667
volunt armi|18.6690986612221
bureau mine|-18.648784609451
foreign servic|17.4831073937614
foreign polici|17.3005028994633
organ labor|-17.1843118202959
veteran affair|16.7317060282181
interest countri|-16.6972158286391
labor relat|-16.6929981434009
war crimin|-16.2771653301568
wage earner|-16.1101784398934
fullemploy bill|-16.0139641397904
human be|-15.9572157200188
percent pariti|-15.9157700717873
chief staff|15.580248009301
air forc|15.4225155917788
civilian product|15.2323692864058
armi air|14.9760211365011
veteran administr|14.9757115593884
food situat|14.884262823217
thirteenth amend|14.7028845351355
philippin island|-14.3354171102895
maximum product|14.3173187223502
commerc commiss|-14.2926418600646
labor manag|-14.1002848590153
medal honor|14.0439318606613
landgrant rate|-13.7135600260193
cost product|13.3214880067075
general motor|-13.3118902810946
servic act|13.2829383388951
railroad worker|13.0936754055222
univers militari|13.0791879214879
opa offici|12.941047922331
pay roll|12.8532836990553
militari train|12.8014203417024
men need|12.7927718360872
budget estim|12.7015574401838
farm bureau|-12.6599498576664
world court|12.6385117389257
great britain|12.5298532108343
schoollunch program|-12.1539277122133
reserv offic|12.1072088862172
profit tax|-11.6979115426803
control act|11.6768036936688
daili worker|11.3342144776583
reconvers period|-11.1422593711374
consum subsidi|11.1296931969034
rise support|11.1054450419331
surgeon general|11.0925430115309
minimum wage|11.0752148718069
atom bomb|-11.0722344874948
coal strike|-11.0365648444669
puerto rico|10.9164866343202
place employ|10.686233826121
punish war|-10.5744611581575
food agricultur|10.3331061731324
two govern|-10.1066386159339
secretari treasuri|-10.0025682212195
farm machineri|9.99159507731964
labor standard|-9.83019064692947
reorgan plan|9.79736649034482
boulder dam|9.78843041051309
give away|9.78522613074075
takehom pay|-9.42227933732685
men children|9.27252805093944
mine compani|-9.24166572028975
last war|-9.22686607918652
regular armi|9.16715292429279
fat oil|9.16324797795052
excess profit|-9.13997510957567
standard act|-9.09497269717609
pariti formula|-9.0939383085171
equal demand|8.97398891009897
general mihailovich|8.94839967593414
nurs corp|8.81443987338343
male nurs|8.716793778134
execut order|8.67147880220374
bureau budget|-8.64694270667675
freight forward|-8.63402462914774
sent combat|8.61262001372216
men armi|8.48954212289951
enlist armi|8.42746766298397
alien properti|-8.3405502791225
employ employe|8.32824064457255
repres govern|8.07346130564975
polish govern|-8.07088143096031
smithconn bill|-8.04170172663847
british peopl|7.96137933549543
armi want|7.95305361953103
jewish peopl|-7.93291328658295
foreign nation|7.78063672792545
control atom|-7.75636719918347
fix ceil|7.71108862678247
nation origin|-7.68513917578706
trade agreement|-7.64254023982957
trusteeship council|7.63930280128668
shoe co|7.59457176568662
break immigr|7.58295957251266
subsidi paid|7.54187017150727
men servic|7.50601700114907
secur administr|7.49995444210138
bureau reclam|7.4918326788473
labor union|-7.45023600386916
public hear|-7.43105135329703
enforc servic|7.36708573156692
get rid|7.36535188417656
pari meet|7.30566905704677
consolid gas|-7.29876532836854
joint antifascist|-7.27109343282278
volunt forc|7.26676490429844
privat util|-7.23657893917349
draft act|7.12067393859004
end war|-6.96264853204005
present administr|6.92426330069059
board feet|6.88790898310475
navi yard|-6.86182802488836
loan great|6.67664077128379
creed color|-6.65213202020567
surplus war|6.64611286753085
gold reserv|-6.63519751010458
nation world|-6.5033935488177
million american|-6.47802330116758
late presid|-6.44272763552463
properti board|-6.43759937368809
physic handicap|-6.30676678364584
trade treati|6.30494878475432
postal servic|-6.27991962586879
oil industri|6.23963985790677
industri advisori|6.22195786957336
weather report|6.16186479555201
railroad strike|-6.16084687407914
nation guard|6.08231998413424
special interest|-6.07893622023866
product food|6.05329177223572
food problem|6.05111699006274
common peopl|-6.00605141187361
war crime|-5.9890292291571
discharg petit|-5.96482192365326
farm worker|5.92020060953269
pass grade|5.87560656853178
air corp|5.81682598502726
swiss watch|-5.81441455634079
intern revenu|-5.80549355210042
voluntari enlist|5.76319451506293
retir act|-5.73647793673899
colleg univers|-5.72624288151259
labor boss|5.70302387027914
congression medal|5.69817693499576
peopl philippin|-5.66646211358921
balanc demand|5.65589953704946
wool wast|5.60840492788565
selectiveservic board|5.60675149755181
boy receiv|5.55792779154639
reserv note|-5.5389054120466
agreement act|5.52331528748546
nurs armi|5.50758759204301
bar associ|5.49668986564147
account submit|-5.48586765828088
establish maximum|5.47770599912167
activ duti|5.46897750660623
gi bill|5.46133067621611
labor act|-5.45557407664774
feet lumber|5.45164830965234
jew europ|-5.4507618657411
lower basin|5.30295713323337
farm program|-5.30099193141181
associ manufactur|-5.29953252396397
intern justic|5.25320682205548
food shortag|5.24429147958836
prevent product|5.21755005919699
yalta agreement|-5.19614649380582
pipe line|-5.16861235176665
reserv balanc|-5.16271157415908
spring va|5.16076636947638
twin citi|-5.13473431137426
jew palestin|-5.12013649516247
upper basin|5.09138994520112
govern corpor|5.08991079892262
citi chicago|-5.07607587199326
draft age|5.03896473232196
filipino peopl|-5.03435435248975
veteran prefer|-5.03066299249823
dairi product|5.0281135226263
continu draft|5.01695726208816
enterpris system|4.96845773340556
point system|4.90858922367975
big five|4.90208171764152
factfind board|-4.88993760195856
compulsori arbitr|-4.88598886933088
alli nation|-4.87157470962282
nation debt|-4.83390179704336
polic duti|4.82176989577544
francisco bay|4.8105196682084
boy girl|4.81050239506361
iron mine|-4.74722487052045
nonfeder inspect|4.74096130308973
social justic|-4.7394998346921
intern arrang|4.73866350752418
medic corp|4.7032889122573
union boss|4.6916792864376
american taxpay|4.69088478503002
railway labor|-4.67430894649554
induct arm|4.66629614309654
polish nation|-4.65325459448634
big busi|-4.63977135917581
philosophi govern|4.53129022601119
american bar|4.48160752002294
corpor profit|-4.4578530206783
armi figur|4.42798501970814
silver purchas|-4.41979422253429
wage demand|-4.41296000663046
command chief|-4.41091061037263
european war|-4.40758662361773
militari liaison|-4.40730124985416
asset corpor|4.40204529051578
oak propos|4.39596194232459
consumpt use|4.37842369208617
court justic|4.33936209506192
nation labor|-4.33657646006067
materi equip|4.32905784796854
court jurisdict|4.31476980662285
govern control|4.30695487889312
american democraci|-4.28829572224738
gas co|-4.24709568237294
atom energi|-4.24551005104736
think import|4.13044846806122
reloc author|4.12167905614721
releas men|4.11194993599314
divers dam|4.090367481627
war reloc|4.0881945216708
divers structur|4.07181591408907
prewar level|-4.06779287752924
sign discharg|-4.06219577235424
invit attent|4.05487759078692
poultri egg|4.00825868419421
go colleg|4.00797135911662
spiral inflat|-3.97950151903991
prevail wage|-3.95771813862031
pacif settlement|3.95686151925161
legal restraint|3.95302296492174
rais wage|-3.93771770264129
busi concern|3.92457832230491
