phrase|partisanship
persian gulf|-96.272702576087
american peopl|67.1256724449571
unemploy benefit|-61.8221559270693
million american|-59.8123481230077
tax increas|59.7795053727477
side aisl|55.7091405822927
rais tax|50.6445344375094
reserv balanc|45.0813958830388
econom growth|44.7701814909402
famili plan|44.1250057529187
head start|-42.7945849605881
unemploy rate|-39.3629651244785
unemploy insur|-38.9926833897437
creat job|38.0224004932252
american worker|-36.0472292389367
men women|34.5298819041871
middl class|-32.8636268397075
peopl countri|-32.6613044659005
luxuri tax|29.921262648978
budget amend|29.7695349054634
extend unemploy|-29.5324482555486
ballist missil|28.6022214853638
natur gas|-28.2532240907722
human right|-27.8748954384239
cold war|-27.7398631843164
enterpris zone|26.176996291008
billion dollar|-26.0205423072712
go war|-25.9917504753802
liabil reform|24.5218214802156
medic leav|-24.2859469421319
tax rate|24.283516865604
public health|-24.0749474092167
senior citizen|23.9017396048023
puerto rico|-23.860805321072
energi polici|-23.5710322254855
feder spend|23.4780440311224
rise support|-23.3788656589328
save loan|-23.3013085649112
product liabil|23.0666825934482
support presid|22.4254173373297
plan parenthood|22.201131322636
reserv object|21.7820026266394
hong kong|21.7453384065729
earn test|21.3690643658784
credit card|21.232417112705
fetal tissu|20.828533685726
world order|-20.7487344458566
pay interest|20.7039569771219
depart energi|-20.5749182113787
extend benefit|-20.010344751788
san diego|19.7363292459626
super collid|-19.7164271418191
energi effici|-19.6860083535344
growth act|19.0456740318778
privat properti|19.0217685546621
attorney general|18.9531284124253
missil defens|18.7082224270707
trade agreement|-18.5666843864191
star war|-18.3253010286304
coast guard|-18.2440184635827
fas fae|-17.9679895360581
fast track|-17.8836917625216
foreign polici|-17.8380748091462
tax break|-17.7677184882158
unborn children|17.6917030095573
come floor|16.6382099643157
member side|16.5250207101838
violent crime|16.475166259459
spot owl|16.3600445654091
across countri|-16.3518147563881
lineitem veto|16.2350341121675
higher educ|-16.091388323319
breast cancer|-15.9064557354601
deficit reduct|-15.9030233024109
exclusionari rule|15.7183154193196
clean air|-15.6901210322946
freetrad agreement|-15.6791867620324
drug test|15.6545486328682
busi owner|15.2083193263131
job train|-15.1700258515227
arctic nation|-14.9380082840207
air forc|14.8584275926886
distinguish colleagu|14.782391850427
particip program|-14.6891017109863
program expens|-14.5797287743241
welfar state|14.5473454641733
just want|14.4894025742788
health safeti|-14.4591978858746
tax code|14.341304304851
feder mandat|14.322830053138
term limit|14.2747061687285
abort demand|14.2667315285298
presid budget|-14.1787146709164
job creation|14.0889255238407
renew energi|-14.0802627452
environment protect|-13.9797654375639
take look|13.9656248525982
care system|-13.9589086027099
firsttim home|13.9010442191848
rocki flat|-13.8882832382528
older american|13.718540874432
increas tax|13.3338776650883
feder reserv|-13.1737399320715
famili medic|-12.8671257129666
take care|-12.7053725802479
tax dollar|12.6622328533656
sexual harass|-12.573530483314
unemploy worker|-12.4525489284798
aid virus|12.4437198141366
exhaust benefit|-12.2481095955974
budget resolut|-12.1596123333231
tax credit|12.0428658144423
promot abort|11.9032255054063
cargo prefer|11.8780153952676
pork barrel|11.8584951288229
control spend|11.8456074645837
just pay|11.8114675184383
increas spend|11.8055900239575
receiv request|-11.599424806428
militari spend|-11.5897988797554
econom sanction|-11.5228674526183
remind colleagu|11.4233746009315
abort method|11.2996323401466
saudi arabia|-11.18570710016
nation energi|-11.1617238493268
leav act|-11.1526188801524
taxpay dollar|11.0902653151993
govern spend|11.0445903639878
environment extremist|11.0323819777972
american public|-10.9968414284794
eastern europ|10.9880392416927
foreign assist|10.9700637199072
scud missil|10.9299921513975
earn limit|10.9193668549255
industri nation|-10.7894302661466
boy scout|10.7522849049488
commend distinguish|10.7294345798276
support confer|-10.6490955090388
lost job|-10.6422598552571
illeg drug|10.6015889447087
veteran affair|-10.5615179442056
care cost|-10.5503300015074
endang speci|10.5409524623631
polit correct|10.5172665873102
administr want|-10.4901703124176
unemploy compens|-10.4399248688607
job creat|10.1843062860215
secur earn|10.1064298358545
emerg unemploy|-10.0877322736605
state select|-10.0687276549563
full disclosur|10.0353965743133
highspe rail|-10.0285394614895
citi polici|10.0013547494191
congression budget|-9.93800566565939
think import|9.88972608795027
interest group|9.79961256747093
highway bill|9.69729262284153
feder court|9.66917018388279
pay bill|-9.60564194688401
school choic|9.58314666611615
air pollut|-9.5507261718815
speci act|9.47768815390051
longterm unemploy|-9.45285148859542
militari budget|-9.44835725774758
transport system|-9.43174676244399
famili valu|-9.26664902497201
illeg alien|9.16212825488462
foreign affair|9.13725804221086
averag amount|8.97957083629281
feder regul|8.95965580895326
budget offic|-8.86000284754081
health center|8.83431728534916
crime victim|8.81300033798903
student loan|8.74582218315593
regulatori burden|8.7203007504809
childhood hunger|-8.69911443533943
wildlif refug|-8.69494657459921
chines govern|-8.63979061128974
fact matter|8.6358278929496
support rule|8.63046882459643
pleas rise|8.61379990114888
pow mia|8.60300936403842
babi yar|-8.59142905313917
trade deficit|-8.58112414866074
armenian genocid|-8.56010678938641
exhaust unemploy|-8.53021105449047
invest infrastructur|-8.52599006398367
start program|-8.51882500167577
red tape|8.44617548569733
