speech_id|chamber|date|number_within_file|speaker|first_name|last_name|state|gender|line_start|line_end|file|char_count|word_count
460102735|H|18800519|638|The SPEAKER|Unknown|Unknown|Unknown|Special|6625|6626|05191880.txt|103|19
460102736|H|18800519|639|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6627|6644|05191880.txt|671|116
460102737|H|18800519|640|The CHAIRMAN|Unknown|Unknown|Unknown|Special|6645|6650|05191880.txt|355|59
460102738|H|18800519|641|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6651|6661|05191880.txt|666|119
460102739|H|18800519|642|Mr. REAL|Unknown|REAL|Unknown|M|6662|6674|05191880.txt|811|148
460102740|H|18800519|643|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6675|6683|05191880.txt|567|113
460102741|H|18800519|644|Mr. ROBINSON|Unknown|ROBINSON|Unknown|M|6684|6688|05191880.txt|299|53
460102742|H|18800519|645|Mr. HUINTON|Unknown|HUINTON|Unknown|M|6689|6689|05191880.txt|16|4
460102743|H|18800519|646|Mr. ROBINSON|Unknown|ROBINSON|Unknown|M|6690|6693|05191880.txt|188|32
460102744|H|18800519|647|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6694|6694|05191880.txt|10|3
460102745|H|18800519|648|Mr. ROBINSON|Unknown|ROBINSON|Unknown|M|6695|6695|05191880.txt|17|4
460102746|H|18800519|649|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6696|6696|05191880.txt|20|5
460102747|H|18800519|650|Mr. CLAFLIU|Unknown|CLAFLIU|Unknown|M|6697|6698|05191880.txt|62|12
460102748|H|18800519|651|Mr. BUCKER|Unknown|BUCKER|Unknown|M|6699|6714|05191880.txt|993|164
460102749|H|18800519|652|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6715|6715|05191880.txt|19|5
460102750|H|18800519|653|Mr. BUCKNER|Unknown|BUCKNER|Unknown|M|6716|6716|05191880.txt|11|3
460102751|H|18800519|654|Mr. RUNTON|Unknown|RUNTON|Unknown|M|6717|6741|05191880.txt|864|161
460102752|H|18800519|655|Mr. ROBINSON|Unknown|ROBINSON|Unknown|M|6742|6744|05191880.txt|144|26
460102753|H|18800519|656|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6745|6747|05191880.txt|168|26
460102754|H|18800519|657|Mr. ANDERSON|Unknown|ANDERSON|Unknown|M|6748|6752|05191880.txt|258|44
460102755|H|18800519|658|Mr. NEAL|Unknown|NEAL|Unknown|M|6753|6763|05191880.txt|664|116
460102756|H|18800519|659|The CHAIRMAN|Unknown|Unknown|Unknown|Special|6764|6764|05191880.txt|33|5
460102757|H|18800519|660|Mr. NEAL|Unknown|NEAL|Unknown|M|6765|6778|05191880.txt|912|162
460102758|H|18800519|661|MrllUNTON|Unknown|LUNTON|Unknown|M|6779|6783|05191880.txt|266|49
460102759|H|18800519|662|Mr. NEAL|Unknown|NEAL|Unknown|M|6784|6785|05191880.txt|72|13
460102760|H|18800519|663|The CHAIRMAN|Unknown|Unknown|Unknown|Special|6786|6787|05191880.txt|73|10
460102761|H|18800519|664|The CHAIRMAN|Unknown|Unknown|Unknown|Special|6794|6795|05191880.txt|59|12
460102762|H|18800519|665|Mr. NEAL|Unknown|NEAL|Unknown|M|6796|6799|05191880.txt|214|38
460102763|H|18800519|666|The CHAIRMAN|Unknown|Unknown|Unknown|Special|6800|6800|05191880.txt|47|10
460102764|H|18800519|667|Mr. NEAL|Unknown|NEAL|Unknown|M|6801|6801|05191880.txt|52|11
460102765|H|18800519|668|The CHAIRMAN|Unknown|Unknown|Unknown|Special|6802|6803|05191880.txt|73|12
460102766|H|18800519|669|Mr. CONGER|Unknown|CONGER|Unknown|M|6830|6836|05191880.txt|357|72
460102767|H|18800519|670|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6837|6838|05191880.txt|62|10
460102768|H|18800519|671|Mr. CONGER|Unknown|CONGER|Unknown|M|6839|6841|05191880.txt|115|19
460102769|H|18800519|672|Mr. CONGER|Unknown|CONGER|Unknown|M|6842|6848|05191880.txt|348|59
460102770|H|18800519|673|Mr. CONGER|Unknown|CONGER|Unknown|M|6849|6850|05191880.txt|58|11
460102771|H|18800519|674|Mr. NEAL|Unknown|NEAL|Unknown|M|6851|6859|05191880.txt|585|109
460102772|H|18800519|675|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6860|6861|05191880.txt|54|11
460102773|H|18800519|676|Mr. NEAL|Unknown|NEAL|Unknown|M|6862|6862|05191880.txt|26|5
460102774|H|18800519|677|Mr. CONGER|Unknown|CONGER|Unknown|M|6863|6866|05191880.txt|211|38
460102775|H|18800519|678|Mr. NEAL|Unknown|NEAL|Unknown|M|6867|6877|05191880.txt|689|127
460102776|H|18800519|679|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6878|6887|05191880.txt|666|130
460102777|H|18800519|680|Mr. CON|Unknown|CON|Unknown|M|6888|6889|05191880.txt|99|17
460102778|H|18800519|681|Mr. ROBINSON|Unknown|ROBINSON|Unknown|M|6890|6899|05191880.txt|611|110
460102779|H|18800519|682|Mr. NEAL|Unknown|NEAL|Unknown|M|6900|6900|05191880.txt|54|12
460102780|H|18800519|683|Mr. HUNTON|Unknown|HUNTON|Unknown|M|6901|6901|05191880.txt|16|4
