speech_id|chamber|date|number_within_file|speaker|first_name|last_name|state|gender|line_start|line_end|file|char_count|word_count
810295026|H|19500810|1500|Mr. WOOD|Unknown|WOOD|Unknown|M|28424|28427|08101950.txt|115|18
810295027|H|19500810|1501|The SPEAKER|Unknown|Unknown|Unknown|Special|28428|28429|08101950.txt|31|6
810295028|H|19500810|1502|Mr. STEVE NELSON|STEVE|NELSON|Unknown|M|28495|28501|08101950.txt|229|37
810295029|H|19500810|1503|Mr. STEVE NELSON|STEVE|NELSON|Unknown|M|28508|28517|08101950.txt|344|59
810295030|H|19500810|1504|Mr. McSWEENEY|Unknown|MCSWEENEY|Unknown|M|28669|28676|08101950.txt|267|43
810295031|H|19500810|1505|Mr. TAVENNER|Unknown|TAVENNER|Unknown|M|28677|28678|08101950.txt|59|12
810295032|H|19500810|1506|Mr. MICEWEENEY|Unknown|MICEWEENEY|Unknown|M|28679|28682|08101950.txt|142|27
810295033|H|19500810|1507|Mr. NELSON|Unknown|NELSON|Unknown|M|28683|28683|08101950.txt|5|2
810295034|H|19500810|1508|Mr. TAVENNER|Unknown|TAVENNER|Unknown|M|28684|28685|08101950.txt|33|5
810295035|H|19500810|1509|Mr. NELSON|Unknown|NELSON|Unknown|M|28686|28689|08101950.txt|127|25
810295036|H|19500810|1510|Mr. TAVENNEn|Unknown|TAVENNEN|Unknown|M|28690|28704|08101950.txt|566|102
810295037|H|19500810|1511|Mr. TAVENNEE|Unknown|TAVENNEE|Unknown|M|28705|28709|08101950.txt|202|37
810295038|H|19500810|1512|Mr. BLOCH|Unknown|BLOCH|Unknown|M|28710|28717|08101950.txt|327|55
810295039|H|19500810|1513|Mr. TAVENNER|Unknown|TAVENNER|Unknown|M|28718|28723|08101950.txt|204|35
810295040|H|19500810|1514|Mr. BLOCH|Unknown|BLOCH|Unknown|M|28724|28728|08101950.txt|140|25
810295041|H|19500810|1515|Mr. MCSWEENEY|Unknown|MCSWEENEY|Unknown|M|28729|28730|08101950.txt|41|6
810295042|H|19500810|1516|Mr. BLOCH|Unknown|BLOCH|Unknown|M|28731|28736|08101950.txt|219|36
810295043|H|19500810|1517|Mr. MCSWEENEY|Unknown|MCSWEENEY|Unknown|M|28737|28737|08101950.txt|20|3
810295044|H|19500810|1518|Mr. NELSON|Unknown|NELSON|Unknown|M|28738|28746|08101950.txt|372|68
810295045|H|19500810|1519|Mr. NIXoN|Unknown|NIXON|Unknown|M|28747|28747|08101950.txt|13|2
810295046|H|19500810|1520|Mr. NELSON|Unknown|NELSON|Unknown|M|28748|28760|08101950.txt|501|84
810295047|H|19500810|1521|Mr. BLOCH|Unknown|BLOCH|Unknown|M|28761|28772|08101950.txt|451|78
810295048|H|19500810|1522|Mr. TAVENNER|Unknown|TAVENNER|Unknown|M|28773|28788|08101950.txt|624|112
810295049|H|19500810|1523|Mr. CASE|Unknown|CASE|Unknown|M|28789|28789|08101950.txt|13|2
810295050|H|19500810|1524|Mr. BLoCH|Unknown|BLOCH|Unknown|M|28790|28791|08101950.txt|49|7
810295051|H|19500810|1525|Mr. CASE|Unknown|CASE|Unknown|M|28792|28795|08101950.txt|157|26
810295052|H|19500810|1526|Mr BLOCH|Unknown|BLOCH|Unknown|M|28797|28848|08101950.txt|1622|284
810295053|H|19500810|1527|Mr. MCSWEENEY|Unknown|MCSWEENEY|Unknown|M|28849|28851|08101950.txt|101|18
810295054|H|19500810|1528|Mr. BLOCH|Unknown|BLOCH|Unknown|M|28852|28852|08101950.txt|10|2
810295055|H|19500810|1529|Mr. HARRISON|Unknown|HARRISON|Unknown|M|28853|28854|08101950.txt|62|10
810295056|H|19500810|1530|Mr. TAVENNER|Unknown|TAVENNER|Unknown|M|28855|28860|08101950.txt|222|37
810295057|H|19500810|1531|Mr. HARRISON|Unknown|HARRISON|Unknown|M|28861|28863|08101950.txt|87|16
810295058|H|19500810|1532|Mr. MCSWEENEY|Unknown|MCSWEENEY|Unknown|M|28864|28867|08101950.txt|143|24
810295059|H|19500810|1533|Mr. MCSWEENEY|Unknown|MCSWEENEY|Unknown|M|28868|28870|08101950.txt|81|15
810295060|H|19500810|1534|Mr. TAVENNER|Unknown|TAVENNER|Unknown|M|28871|28876|08101950.txt|170|26
810295061|H|19500810|1535|Mr. NELSON|Unknown|NELSON|Unknown|M|28877|28878|08101950.txt|44|8
810295062|H|19500810|1536|Mr. TAVENNEE|Unknown|TAVENNEE|Unknown|M|28879|28880|08101950.txt|33|7
810295063|H|19500810|1537|Mr. TAVENNER|Unknown|TAVENNER|Unknown|M|28882|28882|08101950.txt|16|4
810295064|H|19500810|1538|Mr. NELSON|Unknown|NELSON|Unknown|M|28883|28883|08101950.txt|17|4
810295065|H|19500810|1539|Mr. TAVENNER|Unknown|TAVENNER|Unknown|M|28884|28887|08101950.txt|112|19
810295066|H|19500810|1540|Mr. NELSON|Unknown|NELSON|Unknown|M|28888|28890|08101950.txt|75|15
810295067|H|19500810|1541|Mr. TAVENNER|Unknown|TAVENNER|Unknown|M|28891|28894|08101950.txt|115|21
810295068|H|19500810|1542|Mr. NELSON|Unknown|NELSON|Unknown|M|28895|28896|08101950.txt|52|11
810295069|H|19500810|1543|Mr. HARRISON|Unknown|HARRISON|Unknown|M|28897|28898|08101950.txt|40|7
810295070|H|19500810|1544|Mr. NELSON|Unknown|NELSON|Unknown|M|28899|28901|08101950.txt|80|17
810295071|H|19500810|1545|Mr. HARRISON|Unknown|HARRISON|Unknown|M|28902|28903|08101950.txt|28|5
810295072|H|19500810|1546|Mr. NELSON|Unknown|NELSON|Unknown|M|28904|28904|08101950.txt|26|5
810295073|H|19500810|1547|Mr. HARRISON|Unknown|HARRISON|Unknown|M|28905|28907|08101950.txt|75|13
