speech_id|chamber|date|number_within_file|speaker|first_name|last_name|state|gender|line_start|line_end|file|char_count|word_count
560042084|H|19000331|517|Mr. BELL|Unknown|BELL|Unknown|M|9855|9855|03311900.txt|40|8
560042085|H|19000331|518|The CHAIRMAN|Unknown|Unknown|Unknown|Special|9856|9856|03311900.txt|37|5
560042086|H|19000331|519|Mr. BELL|Unknown|BELL|Unknown|M|9857|9896|03311900.txt|2303|408
560042087|H|19000331|520|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9897|9899|03311900.txt|93|18
560042088|H|19000331|521|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9900|9903|03311900.txt|193|37
560042089|H|19000331|522|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9904|9907|03311900.txt|140|27
560042090|H|19000331|523|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9908|9910|03311900.txt|104|20
560042091|H|19000331|524|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9911|9913|03311900.txt|152|32
560042092|H|19000331|525|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9914|9917|03311900.txt|124|24
560042093|H|19000331|526|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9918|9920|03311900.txt|97|19
560042094|H|19000331|527|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9921|9932|03311900.txt|660|123
560042095|H|19000331|528|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9933|9938|03311900.txt|267|49
560042096|H|19000331|529|Mr. SNODGRASS|Unknown|SNODGRASS|Unknown|M|9939|9941|03311900.txt|96|18
560042097|H|19000331|530|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9942|9944|03311900.txt|84|18
560042098|H|19000331|531|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|9945|9949|03311900.txt|216|44
560042099|H|19000331|532|The CHAIRMAN|Unknown|Unknown|Unknown|Special|9950|9953|03311900.txt|202|36
560042100|H|19000331|533|Mr. BELL|Unknown|BELL|Unknown|M|9968|9970|03311900.txt|90|18
560042101|H|19000331|534|Mr. BELL|Unknown|BELL|Unknown|M|10068|10129|03311900.txt|3739|663
560042102|H|19000331|535|Mr. HITT|Unknown|HITT|Unknown|M|10143|10146|03311900.txt|222|39
560042103|H|19000331|536|Mr. RICHARDSON|Unknown|RICHARDSON|Unknown|M|10147|10147|03311900.txt|29|5
560042104|H|19000331|537|Mr. HITT|Unknown|HITT|Unknown|M|10148|10149|03311900.txt|74|13
560042105|H|19000331|538|The SPEAKER pro tempore|Unknown|Unknown|Unknown|Special|10150|10153|03311900.txt|112|20
560042106|H|19000331|539|Mr. HITT|Unknown|HITT|Unknown|M|10154|10154|03311900.txt|38|7
560042107|H|19000331|540|The SPEAKER pro tempore|Unknown|Unknown|Unknown|Special|10155|10156|03311900.txt|66|10
560042108|H|19000331|541|Mr. BELL|Unknown|BELL|Unknown|M|10175|10190|03311900.txt|946|172
560042109|H|19000331|542|Mr. DALZELL|Unknown|DALZELL|Unknown|M|10191|10192|03311900.txt|80|16
560042110|H|19000331|543|Mr. BELL|Unknown|BELL|Unknown|M|10193|10324|03311900.txt|7882|1470
