speech_id|chamber|date|number_within_file|speaker|first_name|last_name|state|gender|line_start|line_end|file|char_count|word_count
560070881|H|19000514|830|Mr. HOPKINS|Unknown|HOPKINS|Unknown|M|9007|9008|05141900.txt|80|15
560070882|H|19000514|831|Mr. PAYNE|Unknown|PAYNE|Unknown|M|9009|9010|05141900.txt|71|13
560070883|H|19000514|832|Mr. HEDGE|Unknown|HEDGE|Unknown|M|9011|9013|05141900.txt|170|32
560070884|H|19000514|833|Mr. HOPKINS|Unknown|HOPKINS|Unknown|M|9014|9028|05141900.txt|848|150
560070885|H|19000514|834|Mr. HOPKINS|Unknown|HOPKINS|Unknown|M|9029|9029|05141900.txt|36|7
560070886|H|19000514|835|Mr. HEDGE|Unknown|HEDGE|Unknown|M|9030|9030|05141900.txt|10|1
560070887|H|19000514|836|Mr. HOPKINS|Unknown|HOPKINS|Unknown|M|9031|9031|05141900.txt|39|8
560070888|H|19000514|837|Ml. HEDGE|Unknown|HEDGE|Unknown|Unknown|9032|9035|05141900.txt|204|36
560070889|H|19000514|838|Mr. COOPER of Wisconsin|Unknown|COOPER|Wisconsin|M|9036|9037|05141900.txt|50|10
560070890|H|19000514|839|Mr. HEDGE|Unknown|HEDGE|Unknown|M|9038|9038|05141900.txt|10|1
560070891|H|19000514|840|Mr. COOPER of Wisconsin|Unknown|COOPER|Wisconsin|M|9039|9043|05141900.txt|293|52
560070892|H|19000514|841|Mr. HEDGE|Unknown|HEDGE|Unknown|M|9044|9047|05141900.txt|245|45
560070893|H|19000514|842|Mr. COOPER of Wisconsin|Unknown|COOPER|Wisconsin|M|9048|9049|05141900.txt|58|10
560070894|H|19000514|843|Mr. HEDGE|Unknown|HEDGE|Unknown|M|9050|9050|05141900.txt|46|10
560070895|H|19000514|844|The CHAIRMAN|Unknown|Unknown|Unknown|Special|9086|9093|05141900.txt|404|64
560070896|H|19000514|845|The SPEAKER|Unknown|Unknown|Unknown|Special|9094|9095|05141900.txt|96|16
560070897|H|19000514|846|Mr. MOODY of Massachusetts|Unknown|MOODY|Massachusetts|M|9097|9103|05141900.txt|360|63
560070898|H|19000514|847|Mr. LACEY|Unknown|LACEY|Unknown|M|9104|9105|05141900.txt|87|17
560070899|H|19000514|848|Mr. MOODY of Massachusetts|Unknown|MOODY|Massachusetts|M|9106|9112|05141900.txt|402|70
560070900|H|19000514|849|Mr. LACEY|Unknown|LACEY|Unknown|M|9113|9114|05141900.txt|84|14
560070901|H|19000514|850|Mr. MOODY|Unknown|MOODY|Unknown|M|9115|9117|05141900.txt|160|29
560070902|H|19000514|851|Mr. LACEY|Unknown|LACEY|Unknown|M|9118|9121|05141900.txt|237|41
560070903|H|19000514|852|Mr. MOODY of Massachusetts|Unknown|MOODY|Massachusetts|M|9122|9127|05141900.txt|308|54
560070904|H|19000514|853|Mr. LACEY|Unknown|LACEY|Unknown|M|9128|9133|05141900.txt|330|59
560070905|H|19000514|854|Mr. MOODY of Massachusetts|Unknown|MOODY|Massachusetts|M|9134|9139|05141900.txt|355|66
560070906|H|19000514|855|Mr. LACEY|Unknown|LACEY|Unknown|M|9140|9144|05141900.txt|298|49
560070907|H|19000514|856|Mr. SHATTUC|Unknown|SHATTUC|Unknown|M|9145|9145|05141900.txt|43|8
560070908|H|19000514|857|The SPEAKER|Unknown|Unknown|Unknown|Special|9146|9152|05141900.txt|333|63
560070909|H|19000514|858|Mr. LANHAM|Unknown|LANHAM|Unknown|M|9155|9165|05141900.txt|575|102
560070910|H|19000514|859|The SPEAKER|Unknown|Unknown|Unknown|Special|9166|9166|05141900.txt|31|6
560070911|H|19000514|860|The SPEAKER|Unknown|Unknown|Unknown|Special|9308|9308|05141900.txt|19|3
560070912|H|19000514|861|Mr. PAYNE|Unknown|PAYNE|Unknown|M|9309|9312|05141900.txt|234|43
560070913|H|19000514|862|Mr. LANHAM|Unknown|LANHAM|Unknown|M|9313|9315|05141900.txt|142|27
560070914|H|19000514|863|Mr. PAYNE|Unknown|PAYNE|Unknown|M|9316|9330|05141900.txt|879|176
560070915|H|19000514|864|Mr. RAY of New York|Unknown|RAY|New York|M|9331|9336|05141900.txt|331|64
560070916|H|19000514|865|Mr. PAYNE|Unknown|PAYNE|Unknown|M|9337|9342|05141900.txt|314|62
560070917|H|19000514|866|Mr. LACEY|Unknown|LACEY|Unknown|M|9343|9347|05141900.txt|285|50
560070918|H|19000514|867|Mr. HOPKINS|Unknown|HOPKINS|Unknown|M|9348|9348|05141900.txt|35|8
560070919|H|19000514|868|Mr. LACEY|Unknown|LACEY|Unknown|M|9349|9350|05141900.txt|81|17
560070920|H|19000514|869|Mr. RAY of New York|Unknown|RAY|New York|M|9351|9353|05141900.txt|154|31
560070921|H|19000514|870|Mr. FLYNN|Unknown|FLYNN|Unknown|M|9354|9355|05141900.txt|100|21
560070922|H|19000514|871|Mr. RAY of New York|Unknown|RAY|New York|M|9356|9357|05141900.txt|66|13
560070923|H|19000514|872|Mr. FLYNN|Unknown|FLYNN|Unknown|M|9358|9359|05141900.txt|70|14
560070924|H|19000514|873|Mr. LANHAM|Unknown|LANHAM|Unknown|M|9360|9369|05141900.txt|570|100
560070925|H|19000514|874|Mr. LACEY|Unknown|LACEY|Unknown|M|9370|9375|05141900.txt|274|50
560070926|H|19000514|875|Mr. LACEY|Unknown|LACEY|Unknown|M|9377|9383|05141900.txt|409|61
560070927|H|19000514|876|Mr. LANHAM|Unknown|LANHAM|Unknown|M|9384|9384|05141900.txt|44|7
560070928|H|19000514|877|Mr. LACEY|Unknown|LACEY|Unknown|M|9385|9386|05141900.txt|74|15
560070929|H|19000514|878|Mr. LANHAM|Unknown|LANHAM|Unknown|M|9387|9403|05141900.txt|1037|185
560070930|H|19000514|879|Mr. HOPKINS|Unknown|HOPKINS|Unknown|M|9404|9404|05141900.txt|41|9
560070931|H|19000514|880|Mr. LANHAM|Unknown|LANHAM|Unknown|M|9405|9427|05141900.txt|1451|254
560070932|H|19000514|881|Mr. HOPKINS|Unknown|HOPKINS|Unknown|M|9428|9428|05141900.txt|40|7
560070933|H|19000514|882|Mr. LANHAM|Unknown|LANHAM|Unknown|M|9429|9429|05141900.txt|10|1
