speech_id|chamber|date|number_within_file|speaker|first_name|last_name|state|gender|line_start|line_end|file|char_count|word_count
510072050|H|18900529|935|Mr. ROGERS|Unknown|ROGERS|Unknown|M|8823|8823|05291890.txt|10|2
510072051|H|18900529|936|Mr. BOWDEN|Unknown|BOWDEN|Unknown|M|8824|8828|05291890.txt|310|57
510072052|H|18900529|937|Mr. ROGER8|Unknown|ROGER8|Unknown|M|8829|8830|05291890.txt|67|12
510072053|H|18900529|938|Mr. BOWDEN|Unknown|BOWDEN|Unknown|M|8831|8831|05291890.txt|27|6
510072054|H|18900529|939|Mr. ROGERS3|Unknown|ROGERS3|Unknown|M|8832|8832|05291890.txt|24|4
510072055|H|18900529|940|Mr. KERR. of Pennsylvania|Unknown|KERR|Pennsylvania|M|8833|8834|05291890.txt|66|12
510072056|H|18900529|941|Mr. BOWDEN|Unknown|BOWDEN|Unknown|M|8835|8836|05291890.txt|88|19
510072057|H|18900529|942|Mr. KERR. of Pennsylvania|Unknown|KERR|Pennsylvania|M|8837|8887|05291890.txt|3299|579
510072058|H|18900529|943|Mr. MILLIKEN|Unknown|MILLIKEN|Unknown|M|8888|8902|05291890.txt|962|175
510072059|H|18900529|944|Mr. KERR. of Pennsylvania|Unknown|KERR|Pennsylvania|M|8903|8905|05291890.txt|118|20
510072060|H|18900529|945|Mr. MILLIKEN|Unknown|MILLIKEN|Unknown|M|8906|8907|05291890.txt|83|17
510072061|H|18900529|946|Mr. THOMPSON|Unknown|THOMPSON|Unknown|M|8908|8911|05291890.txt|102|20
510072062|H|18900529|947|Mr. MILLIKEN|Unknown|MILLIKEN|Unknown|M|8912|8929|05291890.txt|1146|224
510072063|H|18900529|948|Mr. KERR. of Pennsylvania|Unknown|KERR|Pennsylvania|M|8930|8934|05291890.txt|256|44
510072064|H|18900529|949|Mr. MILLIKEN|Unknown|MILLIKEN|Unknown|M|8935|8937|05291890.txt|145|31
510072065|H|18900529|950|Mr. KERR. of Pennsylvania|Unknown|KERR|Pennsylvania|M|8938|8941|05291890.txt|216|36
510072066|H|18900529|951|Mr. MILLIKEN|Unknown|MILLIKEN|Unknown|M|8942|8944|05291890.txt|154|32
510072067|H|18900529|952|Mr. KERR. of Pennsylvania|Unknown|KERR|Pennsylvania|M|8945|8949|05291890.txt|279|54
510072068|H|18900529|953|Mr. MILLIKEN|Unknown|MILLIKEN|Unknown|M|8950|8951|05291890.txt|78|15
510072069|H|18900529|954|Mr. KERR. of Pennsylvania|Unknown|KERR|Pennsylvania|M|8952|8953|05291890.txt|70|15
510072070|H|18900529|955|Mr. MILLIKEN|Unknown|MILLIKEN|Unknown|M|8954|8955|05291890.txt|47|10
510072071|H|18900529|956|Mr. KERR. of Pennsylvania|Unknown|KERR|Pennsylvania|M|8956|8957|05291890.txt|32|7
510072072|H|18900529|957|Mr. BUCHANAN. of New Jersey|Unknown|BUCHANAN|New Jersey|M|8958|8981|05291890.txt|1522|284
510072073|H|18900529|958|Mr. WILLIAMS. of Ohio|Unknown|WILLIAMS|Ohio|M|8982|8982|05291890.txt|23|4
510072074|H|18900529|959|Mr. BUCHANAN. of New Jersey|Unknown|BUCHANAN|New Jersey|M|8983|8989|05291890.txt|433|83
510072075|H|18900529|960|Mr. CUTCHEON|Unknown|CUTCHEON|Unknown|M|8990|8990|05291890.txt|30|5
510072076|H|18900529|961|Mr. BUCHANAN. of New Jersey|Unknown|BUCHANAN|New Jersey|M|8991|8992|05291890.txt|62|9
510072077|H|18900529|962|Mr. CUTCHEON|Unknown|CUTCHEON|Unknown|M|8993|8993|05291890.txt|17|3
510072078|H|18900529|963|Mr. BUCHANAN. of New Jersey|Unknown|BUCHANAN|New Jersey|M|8994|9007|05291890.txt|49|7
510072079|H|18900529|964|Mr. CUTCHEON|Unknown|CUTCHEON|Unknown|M|9008|9009|05291890.txt|115|20
510072080|H|18900529|965|Mr. BUCHANAN. of New Jersey|Unknown|BUCHANAN|New Jersey|M|9010|9014|05291890.txt|288|54
510072081|H|18900529|966|Mr. DIBBLE|Unknown|DIBBLE|Unknown|M|9015|9018|05291890.txt|259|51
510072082|H|18900529|967|Mir. BOWDEN|Unknown|BOWDEN|Unknown|M|9019|9021|05291890.txt|131|29
510072083|H|18900529|968|The CHAIRMAN|Unknown|Unknown|Unknown|Special|9022|9023|05291890.txt|36|5
510072084|H|18900529|969|Air. DIBBLE|Unknown|DIBBLE|Unknown|M|9024|9025|05291890.txt|54|9
510072085|H|18900529|970|Mr. CLEMENTS|Unknown|CLEMENTS|Unknown|M|9026|9027|05291890.txt|58|10
510072086|H|18900529|971|Mr. CLEIENTS|Unknown|CLEIENTS|Unknown|M|9029|9030|05291890.txt|53|11
510072087|H|18900529|972|Mr. DIBBLE|Unknown|DIBBLE|Unknown|M|9031|9033|05291890.txt|109|20
510072088|H|18900529|973|Mr. CUTCHEON|Unknown|CUTCHEON|Unknown|M|9034|9050|05291890.txt|1154|206
510072089|H|18900529|974|Mr. DIBBLE|Unknown|DIBBLE|Unknown|M|9051|9051|05291890.txt|46|10
510072090|H|18900529|975|Mr. BOWDEN|Unknown|BOWDEN|Unknown|M|9052|9053|05291890.txt|77|14
510072091|H|18900529|976|The CHAIRMAN|Unknown|Unknown|Unknown|Special|9054|9056|05291890.txt|177|28
510072092|H|18900529|977|Mr. COWLES|Unknown|COWLES|Unknown|M|9057|9057|05291890.txt|21|5
510072093|H|18900529|978|The CHAIRMAV|Unknown|Unknown|Unknown|Special|9058|9058|05291890.txt|26|4
510072094|H|18900529|979|Mr. COWLES|Unknown|COWLES|Unknown|M|9059|9059|05291890.txt|50|11
510072095|H|18900529|980|The CHAIRMAN|Unknown|Unknown|Unknown|Special|9060|9061|05291890.txt|78|13
510072096|H|18900529|981|Mr. COWLES|Unknown|COWLES|Unknown|M|9062|9062|05291890.txt|35|8
510072097|H|18900529|982|Mr. DIBBLE|Unknown|DIBBLE|Unknown|M|9063|9064|05291890.txt|80|17
510072098|H|18900529|983|The CHAIRMAN|Unknown|Unknown|Unknown|Special|9065|9067|05291890.txt|122|22
510072099|H|18900529|984|Mr. COWLES|Unknown|COWLES|Unknown|M|9068|9068|05291890.txt|26|5
510072100|H|18900529|985|Mr. DIBBLE|Unknown|DIBBLE|Unknown|M|9069|9069|05291890.txt|46|10
510072101|H|18900529|986|The CHAIRMAN|Unknown|Unknown|Unknown|Special|9070|9071|05291890.txt|94|17
510072102|H|18900529|987|Mr. GEAR|Unknown|GEAR|Unknown|M|9072|9073|05291890.txt|82|17
510072103|H|18900529|988|Mr. DIBBLE|Unknown|DIBBLE|Unknown|M|9074|9075|05291890.txt|114|20
510072104|H|18900529|989|Mr. COWLES|Unknown|COWLES|Unknown|M|9076|9077|05291890.txt|82|16
510072105|H|18900529|990|Mr. DIBBLE|Unknown|DIBBLE|Unknown|M|9078|9078|05291890.txt|23|6
