speech_id|chamber|date|number_within_file|speaker|first_name|last_name|state|gender|line_start|line_end|file|char_count|word_count
710177396|H|19300417|1193|Mr. RANKIN|Unknown|RANKIN|Unknown|M|13519|13519|04171930.txt|25|4
710177397|H|19300417|1194|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13520|13520|04171930.txt|8|2
710177398|H|19300417|1195|Mr. RANKIN|Unknown|RANKIN|Unknown|M|13521|13523|04171930.txt|166|29
710177399|H|19300417|1196|Mr. RANKIN|Unknown|RANKIN|Unknown|M|13525|13526|04171930.txt|53|6
710177400|H|19300417|1197|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13527|13533|04171930.txt|344|61
710177401|H|19300417|1198|Mr. RANKIN|Unknown|RANKIN|Unknown|M|13534|13542|04171930.txt|176|33
710177402|H|19300417|1199|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13543|13544|04171930.txt|45|9
710177403|H|19300417|1200|Mr. RANKIN|Unknown|RANKIN|Unknown|M|13545|13545|04171930.txt|18|5
710177404|H|19300417|1201|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13546|13566|04171930.txt|1228|220
710177405|H|19300417|1202|Mr. EVANS of California|Unknown|EVANS|California|M|13567|13567|04171930.txt|25|4
710177406|H|19300417|1203|Mr. EVANS of California|Unknown|EVANS|California|M|13569|13571|04171930.txt|110|19
710177407|H|19300417|1204|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13572|13581|04171930.txt|570|101
710177408|H|19300417|1205|Mr. MOORE of Virginia|Unknown|MOORE|Virginia|M|13582|13585|04171930.txt|162|29
710177409|H|19300417|1206|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13586|13594|04171930.txt|519|85
710177410|H|19300417|1207|Mr. OLIVER of Alabama|Unknown|OLIVER|Alabama|M|13595|13596|04171930.txt|39|6
710177411|H|19300417|1208|Mr. OLIVER of Alabama|Unknown|OLIVER|Alabama|M|13598|13609|04171930.txt|630|110
710177412|H|19300417|1209|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13610|13619|04171930.txt|547|99
710177413|H|19300417|1210|Mr. HARE|Unknown|HARE|Unknown|M|13620|13622|04171930.txt|166|26
710177414|H|19300417|1211|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13623|13640|04171930.txt|588|105
710177415|H|19300417|1212|Mr. HARE|Unknown|HARE|Unknown|M|13641|13645|04171930.txt|253|46
710177416|H|19300417|1213|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13646|13649|04171930.txt|174|31
710177417|H|19300417|1214|Mr. HARE|Unknown|HARE|Unknown|M|13650|13658|04171930.txt|521|98
710177418|H|19300417|1215|Mr. FITZGERALD|Unknown|FITZGERALD|Unknown|M|13659|13671|04171930.txt|736|136
710177419|H|19300417|1216|Mr. RANKIN|Unknown|RANKIN|Unknown|M|13703|13704|04171930.txt|65|12
710177420|H|19300417|1217|Mr. JOHNSON of Oklahoma|Unknown|JOHNSON|Oklahoma|M|13705|13906|04171930.txt|11116|1895
710177421|H|19300417|1218|Mr. CARTWRIGHT|Unknown|CARTWRIGHT|Unknown|M|13907|13908|04171930.txt|39|6
710177422|H|19300417|1219|Mr. CARTWRIGHT|Unknown|CARTWRIGHT|Unknown|M|13910|13911|04171930.txt|90|17
710177423|H|19300417|1220|Mr. JOHNSON of Oklahoma|Unknown|JOHNSON|Oklahoma|M|13912|13915|04171930.txt|204|36
710177424|H|19300417|1221|Mr. CARTWRIGHT|Unknown|CARTWRIGHT|Unknown|M|13916|13917|04171930.txt|53|10
710177425|H|19300417|1222|Mr. JOHNSON of Oklahoma|Unknown|JOHNSON|Oklahoma|M|13918|13920|04171930.txt|132|23
710177426|H|19300417|1223|Mr. CARTWRIGHT|Unknown|CARTWRIGHT|Unknown|M|13921|13922|04171930.txt|69|13
710177427|H|19300417|1224|Mr. JOHNSON of Oklahoma|Unknown|JOHNSON|Oklahoma|M|13923|13958|04171930.txt|2028|358
710177428|H|19300417|1225|Mr. COCHRAN of Missouri|Unknown|COCHRAN|Missouri|M|13959|13960|04171930.txt|39|6
